code;ENGLISH.;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
advanced_destroyers_desc;An associate of J.S. Mill, Alexander Bain added connections from physiology to associationist psychology, adding the laws of compound and constructive association to those of contiguity, similarity, and frequency. He was known for writing two of the earliest textbooks in psychology in 1855 and 1859, which were used by later experimental psychologists such as William James. His Spencer–Bain principle concerning probability of behaviour recalls the later Behaviourist school in its conclusions.;;Die Evolution des U-Boots zu einer ernstzunehmenden Bedrohung für Kriegs- und Handelsschiffe führte zur Weiterentwicklung von Zerstörern als primäre Anti-U-Boot-Waffe. Dies stand im Gegensatz zu ihrer vorherigen Rolle, der Verteidigung der Hauptflotte gegen Torpedoboote. In den ersten Jahren nach dem ersten Weltkrieg wurde das Zerstörer-Design hinsichtlich des Aufspürens und Versenkens von U-Booten verbessert;;;;;;;;;;;x
advanced_drilling_techniques;Alfred Adler was an Austrian doctor and psychotherapist. Adler diverged from Freud in arguing that unconscious motivation could be better explained by teleological goals rather than instinctual drives. According to Adler, people are born with a feeling of Inferiority. People attempt to overcome these feelings of inferiority. Adler posited one of three outcomes. An ‘inferiority complex’ develops in people who are overwhelmed by these feelings. Some of these will develop a superiority complex to mask their true feelings. Psychologically healthy people manifest the concept of self-esteem and satisfy their goals through a sense of personal achievement.;;;;;;;;;;;;;x
advanced_drilling_techniques_desc;Alfred Binet was a French psychologist who pioneered the use of standardized testing to measure individual differences in intelligence. The French government commissioned Binet and his student Theodore Simon to develop a test in 1899 to differentiate ‘retarded’ from ‘normal’ children. The Simon-Binet test divided intelligence into several areas and measured each with a battery of questions. Questions considered to measure higher ability were those answered more often by students whom their teachers had rated highly. Binet also believed that intelligences were inherited, but improvable by education. His test assigned a single ‘mental-level’ score to each subject based on their test results.;;;;;;;;;;;;;x
advanced_fire_control;He was, first and foremost, ‘a brilliant and original theorist’.;Conduite de tir avancée;Fortschrittliche Feuerleitsysteme;;;;;;;;;;;x
advanced_fire_control_desc;Alfred Bernhard Nobel was a Swedish chemist, engineer, innovator, and armaments manufacturer. Known for inventing dynamite, Nobel also owned Bofors, which he had redirected from its previous role as primarily an iron and steel producer to a major manufacturer of cannon and other armaments. Nobel held 355 different patents, dynamite being the most famous. After reading a premature obituary which condemned him for profiting from the sales of arms, he bequeathed his fortune to institute the Nobel Prizes.;;Fortschritte bei der Hauptbewaffnung und dem Kriegsschiffsbau führten zum Bau von Großkampfschiffen mit mehr und großkalibrigeren Geschützen, die den Feind über große Distanzen hinweg beschießen konnten. Es wurde zunehmend wichtiger, gleichzeitig auch fortschrittliche Berechnungsmethoden dafür zu entwickeln, wo abgeschossene Granaten landeten, und mit diesen Daten die genaue Geschützausrichtung zum Beschuss feindlicher Kriegsschiffe zu ermitteln.;;;;;;;;;;;x
advanced_machining_techniques;Alite is a name for tricalcium silicate. It is the major, and characteristic, mineral phases in Portland cement.;;;;;;;;;;;;;x
advanced_machining_techniques_desc;Alphabetic Flag Signalling.;;;;;;;;;;;;;x
advanced_metallurgy;In alternating current or AC systems electrons flow in both directions in wave patterns. After a fierce competition with direct current, alternating current got dominance for most domestic and industrial applications. One of the first applications were the electric chairs, which didn’t help in convincing that alternating current wasn’t more dangerous than direct current.;Métallurgie de pointe;Fortschrittliche Metallurgie;;;;;;;;;;;x
advanced_metallurgy_desc;By letting the staff produce several alternative plans the best alternative be discerned faster by the commander. Also, if things changed the commander and his staff always had an alternative to go for quickly.;Métallurgie de pointe;Fortschrittliche Metallurgie;;;;;;;;;;;x
advanced_naval_design;By making statistical standard measurements of how much ammunition was needed give the right effect against a predefined size of enemy unit in a predefined square area combat became more cost efficient.;Études navales avancées;Fortschrittliche Marine-Entwicklung;;;;;;;;;;;x
advanced_naval_design_desc;This was the combination of premeasured firing speed and area hit differentiators. It enabled the gun to fire optimized to get the best hit picture at the lowest ammunition usage rates.;Études navales avancées;Fortschrittliche Marine-Entwicklung;;;;;;;;;;;x
advanced_ore_grinding_processes;The design and production of basic munitions saw much improvement over the course of the 19th century. Advances in weapons design—from muzzle to breech loads to semi-automatics and machine guns—naturally meant that the design and production of ammunition also had to follow suit.;Procédés de point de pulvérisation des minerais de fer;Fortschrittliche Erzzermahlungsverfahren;;;;;;;;;;;x
advanced_ore_grinding_processes_desc;The experiences of the First World War had demonstrated not only the potential of large-scale amphibious warfare, but also the limitations of current practices and equipment. As such, in the interwar period the major powers worked to increase their capability to launch effective amphibious assaults. These efforts included not only the development of needed equipment, such as purpose-built landing craft, but also the creation and training of land units specializing in amphibious assaults, and the creation of specific naval strategies and tactics to best utilize warships in support and defence of amphibious operations.;Ce procédé permettait de purifier le minerai en éliminant les matières qui nuisaient à la qualité du métal. Le métal ainsi produit était de bien meilleure qualité et beaucoup plus solide. Ce procédé permettait aussi une baisse des prix.;Dieses Verfahren säuberte das Erz von Nebenprodukten, die dazu tendierten, das fertige Metall zu verunreinigen. Durch den Einsatz dieser Technik wurde die Qualität und die Widerstandsfähigkeit des fertigen Metalls erhöht. Aufgrund der großen Produktionsmengen reduzierte sich auch der Preis.;;;;;;;;;;;x
advanced_ore_roasting_processes;Anaesthesia is a state of temporary induced loss of sensation or awareness. Anaesthesia enables the painless performance of medical procedures that would cause severe or intolerable pain to an unanaesthetised patient.;Procédés de pointe de calcination des minerais de fer;Fortschrittliche Erzröstungsverfahren;;;;;;;;;;;x
advanced_ore_roasting_processes_desc;Analytic Philosophy.;Ce procédé permettait de purifier le minerai en éliminant les matières qui nuisaient à la qualité du métal. Le métal ainsi produit était de bien meilleure qualité et beaucoup plus solide. Ce procédé permettait aussi une baisse des prix.;Dieses Verfahren säuberte das Erz von Nebenprodukten, die dazu tendierten, das fertige Metall zu verunreinigen. Durch den Einsatz dieser Technik wurde die Qualität und die Widerstandsfähigkeit des fertigen Metalls erhöht. Aufgrund der großen Produktionsmengen reduzierte sich auch der Preis.;;;;;;;;;;;x
advanced_ore_smelting_processes;Anatol Rapoport was a Russian-born American mathematical psychologist. He contributed to general systems theory, mathematical biology and to the mathematical modelling of social interaction and stochastic models of contagion. Rapoport had a versatile mind, working in mathematics, psychology, biology, game theory, social network analysis, and peace and conflict studies. For example, he pioneered in the modelling of parasitism and symbiosis, researching cybernetic theory. This went on to give a conceptual basis for his lifelong work in conflict and cooperation.;Procédé de pointe de fonte des minerais de fer;Fortschrittliche Erzschmelzverfahren;;;;;;;;;;;x
advanced_ore_smelting_processes_desc;The daughter of Sigmund Freud, Anna began her psychoanalytic practice in 1923. She served as secretary of the International Psychoanalytical Association between 1925 and 1934. Freud became known for her work on the social importance of the ego in childhood development. She wrote ‘The Ego and the Mechanisms of Defense’ in which she further developed the concept of defence mechanisms such as repression, displacement, reaction formation and rationalization. These are mental processes to reduce consciousness of wishes, memories and thoughts that prove threatening to self-esteem and security of the individual.;Ce procédé permettait de purifier le minerai en éliminant les matières qui nuisaient à la qualité du métal. Le métal ainsi produit était de bien meilleure qualité et beaucoup plus solide. Ce procédé permettait aussi une baisse des prix.;Dieses Verfahren säuberte das Erz von Nebenprodukten, die dazu tendierten, das fertige Metall zu verunreinigen. Durch den Einsatz dieser Technik wurde die Qualität und die Widerstandsfähigkeit des fertigen Metalls erhöht. Aufgrund der großen Produktionsmengen reduzierte sich auch der Preis.;;;;;;;;;;;x
advanced_riflemaking;By instituting rules for the proceeding of annual reports for the firm the transparency of the market increased to the joy of both investors and owners. It was also easier to monitor firms that had problems.;;;;;;;;;;;;;x
advanced_riflemaking_desc;By instituting rules for the proceeding of annual reports for the firm the transparency of the market increased to the joy of both investors and owners. It was also easier to monitor firms that had problems.;;;;;;;;;;;;;x
advanced_submarines;Anti-Rationalism.;Sous-marins avancés;Fortschrittliche U-Boote;;;;;;;;;;;x
advanced_submarines_desc;In response to the increasing role of aircraft in armed conflict, new methods and weapons were designed to counter this new threat. Dedicated anti-aircraft artillery was a major step forward in this area.;Les enseignements tirés de la guerre sous-marine du premier conflit mondial furent appliqués à la construction de sous-marins dans les années 1920 et 1930 et renforcèrent le sous-marin en tant qu'arme de la guerre navale.;Die Erfahrungen des ersten Weltkriegs flossen in den 1920er und 1930er Jahren in den U-Boot-Bau ein, wodurch diese Schiffe für die Seekriegsführung noch bedeutender wurden.;;;;;;;;;;;x
advanced_target_practice;This view is based on the theory of natural justice, which says that how people are born can never be unjust. Justice is completely relational. The effect is that the view that actions must be made to increase equality is wrong, if such action is not correcting a legal error.;;;;;;;;;;;;;x
advanced_target_practice_desc;This legislation stopped concentration of power on the market. Sometimes an actor became too big and competition diminished on the market which meant that prices was raised unproportionally.;;;;;;;;;;;;;x
aerial_bacteria_and_antiseptic_principle;Anti-clericalism is a historical movement that opposes religious institutional power and influence, real or alleged, in all aspects of public and political life, and the involvement of religion in the everyday life of the citizen. It suggests a more active and partisan role than mere laïcité, and has at times been violent, leading to attacks and seizure of church property.;Bactéries aérobies et principe antiseptique;Luftbakterien und Antiseptika;;;;;;;;;;;x
aerial_bacteria_and_antiseptic_principle_desc;Anti-clericalism is a historical movement that opposes religious institutional power and influence, real or alleged, in all aspects of public and political life, and the involvement of religion in the everyday life of the citizen. It suggests a more active and partisan role than mere laïcité, and has at times been violent, leading to attacks and seizure of church property.;;Die Entdeckung von Luftbakterien und die Entwicklung von Antiseptika revolutionierte die Behandlung von Krankheiten. Offene Wunden waren nicht mehr gleichbedeutend mit Amputationen oder dem Tod. Infektionen und sogar Fieber konnten nun medikamentös behandelt werden.;;;;;;;;;;;x
aerial_support;An Antitoxin is an antibody with the ability to neutralize a specific toxin. Antitoxins are produced by certain animals, plants, and bacteria. Although they are most effective in neutralizing toxins, they can kill bacteria and other microorganisms. Antitoxins are made within organisms, but can be injected into other organisms, including humans. This procedure involves injecting an animal with a safe amount of a particular toxin. Then, the animal’s body makes the antitoxin needed to neutralize the toxin. Later, the blood is withdrawn from the animal. When the antitoxin is obtained from the blood, it is purified and injected into a human or other animal, inducing passive immunity.;;;;;;;;;;;;;x
aerial_support_desc;We now use carefully-designed armour-piercing shells, with a cemented steel point and a high-explosive filling. This is more effective against modern armour.;;;;;;;;;;;;;x
aero_ap_shell;Appeasement in a political context is a diplomatic policy of making political or material concessions to an enemy power in order to avoid conflict. The term is most often applied to the foreign policy of the British Prime Minister Neville Chamberlain towards Nazi Germany between 1937 and 1939. His policies of avoiding war with Germany have been the subject of intense debate for seventy years among academics, politicians and diplomats. The historians’ assessments have ranged from condemnation for allowing Adolf Hitler’s Germany to grow too strong, to the judgment that he had no alternative and acted in Britain’s best interests. At the time, these concessions were widely seen as positive, and the Munich Pact concluded on 30 September 1938 among Germany, Britain, France, and Italy prompted Chamberlain to announce that he had secured ‘peace for our time.’.;;;;;;;;;;;;;x
aero_ap_shell_desc;Archibald Scott Couper was a Scottish chemist who proposed an early theory of chemical structure and bonding. He developed the concepts of tetravalent carbon atoms linking together to form large molecules, and that the bonding order of the atoms in a molecule can be determined from chemical evidence.;;;;;;;;;;;;;x
aeronautics;Aristocracy is a form of government in which the best qualified citizens rule. The concept evolved in Ancient Greece, whereby a council of famous citizens was commonly used and contrasted with ‘direct monarchy’ in which an individual king held the power.;Aéronautique;Luftfahrt;;;;;;;;;;;x
aeronautics_desc;Aristocracy is a form of government in which the best qualified citizens rule. The concept evolved in Ancient Greece, whereby a council of famous citizens was commonly used and contrasted with ‘direct monarchy’ in which an individual king held the power.;Aéronautique;Luftfahrt;;;;;;;;;;;x
aesthetics;These projectiles were specially developed to penetrate the thick armour plates of the capital ships. This invention opened up an evolution of new projectiles as a countermeasure to the ever-increasing thickness of the plates.;Arts;Ästhetik;;;;;;;;;;;x
aesthetics_desc;These projectiles were specially developed to penetrate the thick armour plates of the capital ships. This invention opened up an evolution of new projectiles as a countermeasure to the ever-increasing thickness of the plates.;Ce domaine concerne le développement et le perfectionnement de la littérature, des arts et de la musique.;Dieser Bereich bezieht sich auf die Entwicklung und Verfeinerung von Literatur, Kunst und Musik.;;;;;;;;;;;x
alexander_bain;Armoured Cars filled a role not well suited to tanks or to regular infantry mounted on trucks. Providing lighter vehicles to cavalry and police units, armoured cars could travel at speed over regular roads, and provide a high degree of fire power per vehicle.;;;;;;;;;;;;;x
alexander_bain_desc;These were huge armoured platforms containing several guns which became less vulnerable to hits that could make the ship unable to defend itself.;;;;;;;;;;;;;x
alfred_adler;Who needs to move a tank quickly when it can destroy anything it sees?;;;;;;;;;;;;;x
alfred_adler_desc;Who needs to move a tank quickly when it can destroy anything it sees?;;;;;;;;;;;;;x
alfred_binet;By armouring the gun turrets, the ship became less vulnerable to hits that made it unable to defend itself.;;;;;;;;;;;;;x
alfred_binet_desc;"I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion.’ \n —Alexander the Great.";;;;;;;;;;;;;x
alfred_marshall;No plan survives contact with the enemy’ \n —Helmuth von Moltke.;Alfred Marshall;Alfred Marshall;;;;;;;;;;;x
alfred_marshall_desc;I have been up to see the Congress and they do not seem to be able to do anything except to eat peanuts and chew tobacco, while my army is starving.’ \n —Robert E. Lee.;Il fut avant tout un théoricien brillant et original.;Er war in erster Linie ein brillanter und origineller Theoretiker.;;;;;;;;;;;x
alfred_nobel;Not by speeches and votes of the majority, are the great questions of the time decided—that was the error of 1848 and 1849—but by iron and blood.’ \n —Otto von Bismarck.;;;;;;;;;;;;;x
alfred_nobel_desc;This is the end and the beginning of an age. This is something far greater than the French Revolution or the Reformation and we live in it.’ \n —H.G. Wells.;;;;;;;;;;;;;x
alite;The lights are going out all over Europe: we shall not see them lit again in our lifetime.’ \n —Edward Grey.;;;;;;;;;;;;;x
alite_desc;This is not peace. It is an armistice for 20 years.’ \n —Ferdinand Foch.;;;;;;;;;;;;;x
alphabetic_flag_signaling;This meant that to become an officer it was no longer enough to be of gentle blood. You also had to attend a formal education which could at best be as good as any college. This was one of the most important causes behind the professionalization of the officers corps.;Pavillons de signalisation;Flaggenalphabet;;;;;;;;;;;x
alphabetic_flag_signaling_desc;By letting the staff produce several alternative plans the best alternative be discerned faster by the commander. Also, if things changed the commander and his staff always had an alternative to go for quickly.;Pavillons de signalisation;Flaggenalphabet;;;;;;;;;;;x
alternating_current;Army Command Principle.;Courant alternatif;Wechselstrom;;;;;;;;;;;x
alternating_current_desc;By using a staff system even at low echelon units, it enabled the leader to give orders continuously and accurate.;;In Wechselstromsystemen fließen die Elektronen wellenförmig in beide Richtungen. Nach einem heftigen Wettstreit mit Befürwortern des Gleichstroms wurde der Wechselstrom als Standard für die meisten häuslichen und industriellen Anwendungen bestätigt. Eines der ersten Geräte war der elektrische Stuhl, was nicht direkt beim Beweis half, dass der Wechselstrom weniger gefährlich als der Gleichstrom sei.;;;;;;;;;;;x
alternative_plans;Army Decision Making.;Plans de rechange;Alternativpläne;;;;;;;;;;;x
alternative_plans_desc;This meant that an officer could temporarily delegate authority to one or more of his subordinates when come to clearly defined areas of responsibilities. This meant that he did not have to control everything himself at all times and that he could focus on the important questions.;;Indem der Kommandeur von seinen Stabsoffizieren mehrere Alternativpläne ausarbeiten ließ, konnte er die beste Alternative schneller erkennen. Im Falle einer unerwarteten Situationsänderung hatte der Kommandeur und sein Stab außerdem schnell eine Alternative zur Hand.;;;;;;;;;;;x
ammunition_area_effect_calculations;This is the doctrinal change of your army. New ideas of how to move and defend while increase the defence of your units, increase their speed, and give you the possibility to enhance your fortifications.;Calcul des zones d'effet des munitions;Bereichsseffekt-Munitionsberechnungen;;;;;;;;;;;x
ammunition_area_effect_calculations_desc;The old rules said that an officer breaking an order of a higher officer was to be brought to court martial. This made decision-making very indecisive. At this point regulations said that an officer was to carry on the core idea of the order of his superior officer, but how was at his own discretion.;En établissant des mesures statistiques standard sur le nombre de munitions nécessaire pour produire l'effet voulu sur un dispositif ennemi de taille donnée dans un espace de combat donné, on a pu accroître le rendement de ces opérations.;Durch die Anstellung statistischer Standardberechnungen, wie viel Munition benötigt wird, um gegen eine feindliche Einheit mit vorbestimmter Stärke in einem vorbestimmten Gefechtsquadrat den gewünschten Effekt zu erzielen, konnten Gefechte kosteneffizienter gestaltet werden.;;;;;;;;;;;x
ammunition_conservation_system;This is the education and leadership principles used by your officer corps. Better leadership procedures will increase the organization and morale values of your units.;Économie des munitions;Munitions-Einsparsystem;;;;;;;;;;;x
ammunition_conservation_system_desc;When literate NCOs started to flock to the ranks the average quality of the units and the training of the soldiers increased.;En combinant les mesures de cadence de tir et les différentiels de zones d'impact, on a pu optimiser les tirs et améliorer le rapport efficacité/dépense en munitions.;Dies war die Kombination aus vorausberechneter Feuergeschwindigkeit und Trefferbereichsermittlung. Dieses System ermöglichte Geschützen, mit geringstmöglichem Munitionsverbrauch bestmögliche Treffer zu erzielen.;;;;;;;;;;;x
ammunition_production;In a highly militarized society, or a normal society in war, often needed not only military-civilian cooperation boards on a local level, but sometimes most of the local government could be appointed officers. This meant not only a strong military control, but also that the power of the Army increased disproportionately in comparison to other governmental agencies.;Production de munitions;Munitionsproduktion;;;;;;;;;;;x
ammunition_production_desc;In wartime an influential Army that had lobbied for their cause for a long time could get full control not only over the execution of the war, but also over the resource management of the country. This could basically be called a Military Dictatorship governed by the General Staff.;La conception et la production de munitions de base ont connu une nette amélioration au cours du XIXe siècle. Les progrès de l'armement ont naturellement entraîné une amélioration de la conception et de la production de munitions.;Im Verlauf des neunzehnten Jahrhunderts wurde auch das Design und die Produktion von Standardmunition stark verbessert. Die Fortschritte bei der Waffenentwicklung—von Vorder- zu Hinterladern und dann zu halbautomatischen Waffen und Maschinengewehren—bedeuteten natürlich, dass Munitionsdesign und-herstellung Schritt halten mussten.;;;;;;;;;;;x
amphibious_warfare_training;By excessively training the NCOs in the field and with tactical situations these not only became the leaders of the men, but also the initiative takers in combat.;Entraînement à la guerre amphibie;Weiterentwicklung der amphib. Kriegsführung;;;;;;;;;;;x
