;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;
76_millimeter_gun_desc;Artillery weapons have become even larger, and capable of delivering even larger ordinance. These weapons are the future of modern warfare.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
railroad_guns;Railroad Guns;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
railroad_guns_desc;A railroad gun is a large artillery piece, often surplus naval ordnance, mounted on, transported by and fired from a specially-designed railway wagon.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
howitzer;Howitzer;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
howitzer_desc;A howitzer is a type of artillery piece characterized by a relatively short barrel and the use of comparatively small propellant charges to propel projectiles at relatively high trajectories, with a steep angle of descent.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
mortar;Mortar;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
mortar_desc;A mortar is an indirect fire weapon that fires shells at low velocities, short ranges, and high-arcing ballistic trajectories. It is typically muzzle-loading and has a barrel length less than 15 times its caliber.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
self_propelled_artillery;Self-Propelled Artillery;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
self_propelled_artillery_desc;The weakness of artillery has always been its lack of mobility, and considering that mobility is quickly becoming the hallmark of a modern army, it is becoming increasingly clear that new methods must be developed to move artillery from one front to the next.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
tinned_fruit;Tinned Fruit;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
tinned_fruit_desc;The process of preserving fruit in tin cans was one of the earliest methods of mass food production, and led to the consumption of produce in places that weren't already near farming areas.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
The_New_Deal;The 'New Deal';;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
The_New_Deal_desc;The New Deal is a system of economic programs designed to combat economic depression and focused on the 3 R's: relief, recovery, and reform. That is, relief for the unemployed and poor, recovery of the economy to normal levels, and reform of the financial system to prevent a repeat depression.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
inclosure;Inclosure;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
inclosure_desc;Inclosure is the process which was used in order to end some traditional rights, such as mowing meadows for hay, or grazing livestock on land which is owned by another person. Under inclosure, such land is fenced and deeded or entitled to one or more owners. By the 19th century, unenclosed commons had become largely restricted to rough pasture in mountainous areas and in relatively small parts of the lowlands.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
regenerative_forestry;Regenerative Forestry;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
regenerative_forestry_desc;New methods of harvesting our nation's forests must be undertaken, in order to ensure that these resources remain sustainable as techniques for harvesting lumber become more advanced.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
freud;Sigmund Freud;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
freud_desc;Sigmund Freud was an Austrian neurologist who founded the disciple of psychoanalysis. He is best known for his theories on the unconscious mind and the mechanism of repression, and for creating the clinical method of psychoanalysis for investigating the mind and treating psychpathology through dialogue between a patient and a psychoanalyst. Freud established sexual drives as the primary motivational forces of human life, developed therapeutic techniques such as the use of free association, discovered the phenomenon of transference in the therapeutic relationship and established its central role in the analytic process.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
jung;Carl Jung;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
jung_desc;Carl Gustav Jung was a Swiss psychiatrist, an influential thinker, and the founder of analytical psychology. Jung is often considered the first modern psychologist to state that the human psyche is 'by nature religious' and to explore it in depth. Those not the first to analyze dreams, he has become perhaps one of the most well-known pioneers in the field of dream analysis. Unlike Freud, he was a self-described natural scientist and not a theoretical psychologist. For Jung this salient distinction revolved around his initial process of deep observation followed by categorizations rather than the reverse process of imagining what categories exist and then proceeding to seek for proof of and then discover that one was correct.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
military_psychology;Military Psychology;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
military_psychology_desc;Military psychology is the research, design and application of psychological theories and experimentation data towards understanding, predicting and countering behaviours either in friendly or enemy forces or civilian populations that may be undesirable, threatening or potentially dangerous to the conduct of military operations. Military psychology is applied towards counseling and treatment of stress and fatigue of military personnel or military families as well as treatment of psychological trauma suffered as a result of military operations.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
spinning_jenny;Spinning Jenny;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
spinning_jenny_desc;The spinning jenny is a multi-tool spinning frame. The device reduced the amount of work needed to produce yarn, with a worker able to work eight or more spools at once. It advanced the efficiency of the textile industry a great deal, and was one of the driving forces behind the Industrial Revolution in many textile-based countries.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
seafood_packing;Seafood Packing;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
seafood_packing_desc;The ability to preserve seafood was the first step in permitting such food to reach parts of the country that did not live by the coast, thereby assisting in the growth of large urban centers.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
logging;Logging;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
logging_desc;Logging is the process of systematically harvesting a country's timber resources, replacing traditional methods of lumberjacking that relied primarily on disorganized groups of laborers cutting down what trees they could find and selling the timber on the market in a manner similar to farmers.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
alite;Alite;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
alite_desc;Alite is a name for tricalcium silicate. It is the major, and characteristic, mineral phases in Portland cement.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
mechanised_plantations;Mechanized Plantations;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
mechanised_plantations_desc;The introduction of mechanization to plantations allowed for harvesting to occur more rapidly, and for far more land to be manageable by the individual farmer. This freed up a great deal of labor, and led to the growth of urban centers.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
portland_cement;Portland Cement;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
portland_cement_desc;Portland cement is the most common type of cement in general use around the world because it is a basic ingredient of concrete, mortar, stucco and most non-specialty grout.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
cattle_breeding_program;Cattle Breeding Program;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cattle_breeding_program_desc;New methods of breeding livestock have led to a boom in cattle and horse populations, and permitted the average rancher far more control over the quality of his stock.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
cattle_trucks;Cattle Trucks;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cattle_trucks_desc;The introduction of automobiles has also had one ancillary benefit: the development of cattle trucks, large enough to hold multiple cattle at once and speed up the process of delivering livestock for slaughter.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
tree_plantations;Tree Plantations;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
tree_plantations_desc;The development of plantations specifically created for timber harvest reduced the reliance on naturally-occurring forests for logging.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
advanced_machining_techniques;Advanced Machinery Techniques;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
advanced_machining_techniques_desc;As our country's familiarity with machinery production grows, so too does the development of new techniques in producing machine parts advance. Already new methods have been introduced which reduce the reliance on human labor in order to produce industrial parts.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
advanced_drilling_techniques;Advanced Drilling Techniques;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
advanced_drilling_techniques_desc;New methods of pumping oil from the ground are becoming available, meaning that oil can be harvested in a far more efficient manner.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
mechanized_farming_equipment;Mechanized Farming Equipment;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
mechanized_farming_equipment_desc;Traditional methods of harvest are slowly being discarded as new, mechanical inventions are being produced. These will greatly speed up a farm's harvest, and allow the individual farm to cover much greater area than ever before.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
mechanized_wells;Mechanized Oil Wells;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
mechanized_wells_desc;The ability to pump oil from the ground through automated machinery has greatly increased the capacity of the individual well. Already production has begun to skyrocket.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
industrial_farming;Industrial Farming;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
industrial_farming_desc;The notion of a farm being the province a single family or landowner is slowly becoming a thing of the past. The production of food is an industry, and the cost of farm machinery simply beyond the means of many. Large businesses are stepping in, creating industrial farms that are more akin to factories than anything else.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
nitrate_extraction_process;Nitrate Extraction Process;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
nitrate_extraction_process_desc;As the understanding of chemistry increases, so too does our ability to extract needed nitrates advance.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
copper_pits;Copper Pits;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
copper_pits_desc;Methods of mining copper are slowly advancing, increasing our ability to extract the ore and allowing our individual copper mines to become far more productive.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
zinc_alloys;Zinc Alloys;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
zinc_alloys_desc;Zinc, also known as spelter, is incredibly useful in the creation of many alloys. Methods of creating those alloys have advanced our production of bronze.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
brass;Brass;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
brass_desc;Bronze is principally an alloy of copper and tin, while brass is an alloy of copper and zinc. Brass is often used for decoration, due to its bright gold-like appearance, but it is also used for applications where low friction is requir3ed such as locks, gears, bearings,ammunition, and valves.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
poudre_b;Poudre B;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
poudre_b_desc;Meaning 'poudre blanch' or 'white powder', poudre b was the first smokeless gunpowder, three times more powerful than black powder for the same weight.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
cordite;Cordite;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cordite_desc;Cordite is a family of smokeless propellants used to replace gunpowder. It entered primary use in large weapons such as tank guns, artillery and naval guns.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
genetics_heredity;Genetics & Heredity;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
genetics_heredity_desc;We are just beginning to understand the process of how traits are passed on from parent to child, and how this affects things such as inherited diseases. In the future, it may even come grant us the ability to better understand how these issues may be eliminated altogether.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
pharmaceuticals;Pharmaceuticals;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
pharmaceuticals_desc;The advancement of medicine has led to the development of proper pharmaceuticals, especially those using opiates, as a method of medical treatment replacing more traditional methods.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
artficial_nitrates;Artificial Nitrates;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
artficial_nitrates_desc;Our undertstanding of chemistry has led to the development of artificial nitrates, reducing our dependency on naturally-extracted nitrates in sulphur production.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
synthetic_rubber;Synthetic Rubber;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
synthetic_rubber_desc;The process of chemically producing rubber, something which has grown in importance due to its involvement in so many industrial processes, will permit us to reduce our reliance on natural sources.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
penicillin;Penicillin;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
penicillin_desc;Antibiotics derived from Penicillium fungi, they became significant because they were the first drugs effective against many serious diseases such as syphilis and staphylococcus infections.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
methyl_isoprene;Methyl Isoprene;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
methyl_isoprene_desc;The development of isoprene will allow our rubber plants to produce better forms of artificial rubber, perhaps even making rubber that is far preferable to the real thing.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
the_open_door;The Open Door;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
citizenship_tests;Citizenship Tests;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
passports;Passports;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
franz_boas;Franz Boas;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
franz_boas_desc;Franz Boas was a German-American anthropologist, a pioneer of modern anthropology who has been called the 'Father of Modern Anthropology'. He applied the scientific method to the study of human cultures and societies. Previously this discipline was based on the formulation of grand theories around anecdotal knowledge.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
marcel_mauss;Marcel Mauss;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
marcel_mauss_desc;Marcel Mauss was a French sociologst. Mauss' academic work traversed the boundaries between sociology and anthropology. Today, he is perhaps better recognised for his influence on the latter discipline, particularly with respect to his analyses of topics such as magic, sacrifice and gift exchange in primitive cultures.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
branislaw_malinowski;Bronislaw Malinowski;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
branislaw_malinowski_desc;Bronislaw Kasper Malinowski was a Polish anthropologist, widely considered one of the most important modern anthropoligists, and also influential in structural functionalist sociology. His pioneering ethnographic fieldwork made a major contribution to the study of Melanesia and of phenomena relating to reciprocity.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
flinders_petrie;Flinders Petrie;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
flinders_petrie_desc;Professor Sir William Flinders Petrie was an English Egyptologist and a pioneer of systematic methodology in archaeology. He held the first chair of Egyptology in the United Kingdom, and excavated at many of the most important archaeological sites in Egypt, such as Naukratis, Tanis, Abydos and Amarna. Some consider his most famous discovery to be that of the Mernetaph Stele.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
jg_taylor;John George Taylor;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
jg_taylor_desc;A noted British mathematical physicist who pioneered work in artificial intelligence.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cl_wooley;Charles Leonard Woolley;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cl_wooley_desc;Sir Charles Leonard Woolley was a British archaeologist best known for his excavations at Ur in Mesopotamia. He is considered to have been one of the first 'modern' archaeologists.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
arthur_evans;Arthur Evans;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
arthur_evans_desc;Sir Arthur John Evans was a British archaeologist most famous for unearthing the palace of Knossos on the Greek island of Crete and for developing the concept of Minoan civilization from the structures of the artifacts found there and elsewhere throughout the eastern Mediterranean.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
heinrich_schliemann;Heinrich Schliemann;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
heinrich_schliemann_desc;Heinrich Schliemann was a German businessman and archaeologist, and an advocate of the historical reality of places mentioned in the works of Homer. Schliemann was an archaeological excavator of Troy, along with the Mycenaean sites of Mycenae and Tiryns. His work lent weight to the idea that Homer's Iliad and Virgil's Aeneid reflect actual historical events.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
emile_dirkheim;Emile Durkheim;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
emile_dirkheim_desc;David Emile Durkheim was a French sociologist. He formally established the academic discipline and, with Karl Marx and Max Weber, is commonly cited as the principal architect of modern social science.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
max_weber;Max Weber;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
max_weber_desc;Karl Emil Maximilian Weber was a German sociologist and political economist who profoundly influenced social theory, social research, and the discipline of sociology itself. Weber's major works dealt with the rationalization and 'disenchantment' he associated with the rise of capitalism and modernity.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
ferdinand_de_saussure;Ferdinand de Saussure;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
ferdinand_de_saussure_desc;Ferdinand de Saussure was a Swiss linguist whose ideas laid a foundation for many significant developments in linguistics in the 20th century. Saussure is widely considered to be one of the fathers of modern linguistics.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
william_hamilton;William Hamilton;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
william_hamilton_desc;Sir William Rowan Hamilton (4 August 1805 – 2 September 1865) was an Irish physicist, astronomer, and mathematician, who made important contributions to classical mechanics, optics, and algebra. His studies of mechanical and optical systems led him to discover new mathematical concepts and techniques.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
soren_kierkegaard;Søren Kierkegaard;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
soren_kierkegaard_desc;Søren Aabye Kierkegaard was a Danish philosopher, theologian and religious author interested in human psychology. He strongly criticized many modern philosophers and the Christianity of the State Church versus the Free Church. Much of his philosophical work deals with the issues of how one lives as a 'single individual', giving priority to concrete human reality over abstract thinking, and highlighting the importance of personal choice and commitment.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
the_nancy_school;The Nancy School;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
the_nancy_school_desc;The Nancy School was an early French suggestion-centred school of psychotherapy founded by Ambroise-Auguste Liebeault. Whilst its work centred on the application of what they termed 'suggestive therapeutics', they also maintained that hypnosis significantly amplified the efficacy of the suggestions so offered.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
emile_coue;Émile Coué;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
emile_coue_desc;Émile Coué was a French psychologist and pharmacist who introduced a method of psychotherapy and self-improvement based on optimistic autosuggestion. Coue maintained that curing some of our troubles requires a change in our unconscious thought, which can only be achieved by using our imagination.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
neurology;Neurology;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
neurology_desc;Neurology is a medical specialty dealing with disorders of the nervous system. Specifically, it deals with the diagnosis and treatment of all categories of disease involving the central,peripheral, and autonomic nervous systems.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
alfred_nobel;Alfred Nobel;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
alfred_nobel_desc;Alfred Bernhard Nobel was a Swedish chemist, engineer, innovator, and armaments manufacturer. He is the inventor of dynamite, and in his last will he used his enormous fortune to institute the Nobel Prizes.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
archibald_scott_couper;Archibald Scott Couper;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
archibald_scott_couper_desc;Archibald Scott Couper was a Scottish chemist who proposed an early theory of chemical structure and bonding. He developed the concepts of tetravalent carbon atoms linking together to form large molecules, and that the bonding order of the atoms in a molecule can be determined from chemical evidence.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
florence_nightingale;Florence Nightingale;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
florence_nightingale_desc;Florence Nightingale was a celebrated English nurse, writer and statistician. A Christian universalist, Nightingale believed that God had called her to be a nurse. She came to prominence for her pioneering work in nursing during the Crimean War, where she tended to wounded soldiers. She was dubbed 'The Lady with the Lamp' after her habit of making rounds at night.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
dmitri_mendeleev;Dmitri Mendeleev;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
dmitri_mendeleev_desc;Dmitri Ivanovich Mendeleev was a Russian chemist and inventory. He is credited as being the creator of the first version of the periodic table of elements. Using the table, he predicted the properties of elements yet to be discovered.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
the_periodic_table;The Periodic Table;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
the_periodic_table_desc;The periodic table of the chemical elements is a tabular display of the chemical elements. Although precursors to this table exist, its invention is generally credited to Russian chemist Dmitri Mendeleev, who intended the table to illustrate recorring trends in properties of the elements.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
lenin;Vladimir Lenin;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
lenin_desc;Vladimir Ilyich Lenin was a Russian Marxist revolutionary, author, lawyer, economic theorist, political philosopher as well as the creator of the Soviet Communist Party and the leader of the 1917 October Revolution. As a theorist, his extensive theoretical and philisophical contributions to Marxism produced Leninism.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
trotsky;Leon Trotsky;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
trotsky_desc;Leon Trotsky was a Bolshevik revolutionary and Marxist theorist. Trotsky was one of the leaders of the Russian October Revolution, second only to Vladimir Lenin.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
mussolini;Benito Mussolini;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
