ABU;Trucial States;;;;;;;;;;;;x;;;;
ABU_ADJ;Trucial;;;;;;;;;;;;x;;;;
UCA;Federal Republic of Central America;;;;;;;;;;x;;;
USA;United States of America;;;;;;;;;;x;;;
CSA;Confederate States of America;;;;;;;;;;x;;;
SIE;Transylvania;;;;;;;;;;x;;;
BOH;Bohemia;Boh瘱e;B鐬men;;Bohemia;;;;;;;;;x;;;;
RWA;Rwanda;;;;;;;;;;;;x;;;;
RWA_ADJ;Rwanda;;;;;;;;;;;;x;;;;
BRD;Burundi;;;;;;;;;;;;x;;;;
BRD_ADJ;Burundi;;;;;;;;;;;;x;;;;
DND;Dendi;;;;;;;;;;;;x;;;;
DND_ADJ;Dendi;;;;;;;;;;;;x;;;;
KUR;Kurdistan;;;;;;;;;;;;x;;;;
KUR_ADJ;Kurdish;;;;;;;;;;;;x;;;;
WRS;Warsangali;;;;;;;;;;;;x;;;;
WRS_ADJ;Warsangali;;;;;;;;;;;;x;;;;
BAG;Bagirmi;;;;;;;;;;;;x;;;;
BAG_ADJ;Bagirmi;;;;;;;;;;;;x;;;;
SYR;Syria;;;;;;;;;;;;;x;;;;
SYR_ADJ;Syrian;;;;;;;;;;;;;x;;;;
CPS;Champasak;;;;;;;;;;;;x;;;;
CPS_ADJ;Champasak;;;;;;;;;;;;x;;;;
SSU;Siak;;;;;;;;;;;;x;;;;
SSU_ADJ;Siak;;;;;;;;;;;;x;;;;
SUL;Sulu;;;;;;;;;;;;x;;;;
SUL_ADJ;Sulu;;;;;;;;;;;;x;;;;
LFN;Lanfang;;;;;;;;;;;;x;;;;
LFN_ADJ;Lanfang;;;;;;;;;;;;x;;;;
KTA;Kutai;;;;;;;;;;;;x;;;;
KTA_ADJ;Kutai;;;;;;;;;;;;x;;;;
PIR;Piratini;;;;;;;;;;;;x;;;;
PIR_ADJ;Piratini;;;;;;;;;;;;x;;;
PIR_democracy;Piratini Republic;;;;;;;;;;;;;x
CFE;Equator Confederation;;;;;;;;;;;;x;;;;
CFE_ADJ;Equator;;;;;;;;;;;;x;;;
HOH;Hohenzollern-Sigmaringen;;;;;;;;;;;;;x;;;;
HOH_ADJ;Hohenzollern-Sigmaringan;;;;;;;;;;;;;x;;;;
KON;Kongo;;;;;;;;;;;;x;;;;
KON_ADJ;Kongolese;;;;;;;;;;;;x;;;;
KNG;Kong;;;;;;;;;;;;x;;;;
KNG_ADJ;Kong;;;;;;;;;;;;x;;;;
ASH;Ashanti;;;;;;;;;;;;x;;;;
ASH_ADJ;Ashanti;;;;;;;;;;;;x;;;;
FJA;Futa Jallon;;;;;;;;;;;;x;;;;
FJA_ADJ;Futa Jallon;;;;;;;;;;;;x;;;;
FTO;Futa Toro;;;;;;;;;;;;x;;;;
FTO_ADJ;Futa Toro;;;;;;;;;;;;x;;;;
DAH;Dahomey;;;;;;;;;;;;x;;;;
DAH_ADJ;Dahomey;;;;;;;;;;;;x;;;;
MNP;Manipur;;;;;;;;;;;;x;;;;
MNP_ADJ;Manipuri;;;;;;;;;;;;x;;;
ARO;Aro;;;;;;;;;;;;x;;;;
ARO_ADJ;Aro;;;;;;;;;;;;x;;;;
WAD;Wadai;;;;;;;;;;;;x;;;;
WAD_ADJ;Wadai;;;;;;;;;;;;x;;;;
DAR;Darfur;;;;;;;;;;;;x;;;;
DAR_ADJ;Fur;;;;;;;;;;;;x;;;;
SEN;Sennar;;;;;;;;;;;;x;;;;
SEN_ADJ;Sudanese;;;;;;;;;;;;x;;;;
BOR;Bornu;;;;;;;;;;;;x;;;;
BOR_ADJ;Bornu;;;;;;;;;;;;x;;;;
GEL;Geledi;;;;;;;;;;;;x;;;;
GEL_ADJ;Geledi;;;;;;;;;;;;x;;;;
MAJ;Majeerteen;;;;;;;;;;;;x;;;;
MAJ_ADJ;Majeerteen;;;;;;;;;;;;x;;;;
BAM;Bamana;;;;;;;;;;;;x;;;;
BAM_ADJ;Bamana;;;;;;;;;;;;x;;;;
BNN;Benin;;;;;;;;;;;;x;;;;
BNN_ADJ;Edo;;;;;;;;;;;;x;;;;
LBA;Luba;;;;;;;;;;;;x;;;;
LBA_ADJ;Luba;;;;;;;;;;;;x;;;;
LDA;Lunda;;;;;;;;;;;;x;;;;
LDA_ADJ;Lunda;;;;;;;;;;;;x;;;;
OYO;Oyo;;;;;;;;;;;;x;;;;
OYO_ADJ;Oyo;;;;;;;;;;;;x;;;;
BUG;Buganda;;;;;;;;;;;;x;;;;
BUG_ADJ;Buganda;;;;;;;;;;;;x;;;;
DAM;Damagaram;;;;;;;;;;;;x;;;;
DAM_ADJ;Damagaram;;;;;;;;;;;;x;;;;
WLD;Waldeck;;;;;;;;;;;;x;;;;
WLD_ADJ;Waldeck;;;;;;;;;;;;x;;;;
D01;$REGION$;;$REGION$;;;;;;;;x;;;
D01_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D02;$REGION$;;$REGION$;;;;;;;;x;;;
D02_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D03;$REGION$;;$REGION$;;;;;;;;x;;;
D03_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D04;$REGION$;;$REGION$;;;;;;;;x;;;
D04_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D05;$REGION$;;$REGION$;;;;;;;;x;;;
D05_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D06;$REGION$;;$REGION$;;;;;;;;x;;;
D06_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D07;$REGION$;;$REGION$;;;;;;;;x;;;
D07_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D08;$REGION$;;$REGION$;;;;;;;;x;;;
D08_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D09;$REGION$;;$REGION$;;;;;;;;x;;;
D09_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D10;$REGION$;;$REGION$;;;;;;;;x;;;
D10_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D11;$REGION$;;$REGION$;;;;;;;;x;;;
D11_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D12;$REGION$;;$REGION$;;;;;;;;x;;;
D12_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D13;$REGION$;;$REGION$;;;;;;;;x;;;
D13_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D14;$REGION$;;$REGION$;;;;;;;;x;;;
D14_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D15;$REGION$;;$REGION$;;;;;;;;x;;;
D15_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D16;$REGION$;;$REGION$;;;;;;;;x;;;
D16_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D17;$REGION$;;$REGION$;;;;;;;;x;;;
D17_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D18;$REGION$;;$REGION$;;;;;;;;x;;;
D18_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D19;$REGION$;;$REGION$;;;;;;;;x;;;
D19_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D20;$REGION$;;$REGION$;;;;;;;;x;;;
D20_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D21;$REGION$;;$REGION$;;;;;;;;x;;;
D21_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D22;$REGION$;;$REGION$;;;;;;;;x;;;
D22_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D23;$REGION$;;$REGION$;;;;;;;;x;;;
D23_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D24;$REGION$;;$REGION$;;;;;;;;x;;;
D24_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D25;$REGION$;;$REGION$;;;;;;;;x;;;
D25_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D26;$REGION$;;$REGION$;;;;;;;;x;;;
D26_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D27;$REGION$;;$REGION$;;;;;;;;x;;;
D27_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D28;$REGION$;;$REGION$;;;;;;;;x;;;
D28_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D29;$REGION$;;$REGION$;;;;;;;;x;;;
D29_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D30;$REGION$;;$REGION$;;;;;;;;x;;;
D30_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D31;$REGION$;;$REGION$;;;;;;;;x;;;
D31_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D32;$REGION$;;$REGION$;;;;;;;;x;;;
D32_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D33;$REGION$;;$REGION$;;;;;;;;x;;;
D33_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D34;$REGION$;;$REGION$;;;;;;;;x;;;
D34_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D35;$REGION$;;$REGION$;;;;;;;;x;;;
D35_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D36;$REGION$;;$REGION$;;;;;;;;x;;;
D36_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D37;$REGION$;;$REGION$;;;;;;;;x;;;
D37_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D38;$REGION$;;$REGION$;;;;;;;;x;;;
D38_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D39;$REGION$;;$REGION$;;;;;;;;x;;;
D39_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D40;$REGION$;;$REGION$;;;;;;;;x;;;
D40_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D41;$REGION$;;$REGION$;;;;;;;;x;;;
D41_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D42;$REGION$;;$REGION$;;;;;;;;x;;;
D42_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D43;$REGION$;;$REGION$;;;;;;;;x;;;
D43_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D44;$REGION$;;$REGION$;;;;;;;;x;;;
D44_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D45;$REGION$;;$REGION$;;;;;;;;x;;;
D45_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D46;$REGION$;;$REGION$;;;;;;;;x;;;
D46_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D47;$REGION$;;$REGION$;;;;;;;;x;;;
D47_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D48;$REGION$;;$REGION$;;;;;;;;x;;;
D48_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D49;$REGION$;;$REGION$;;;;;;;;x;;;
D49_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
D50;$REGION$;;$REGION$;;;;;;;;x;;;
D50_ADJ;$REGION$;;$REGION$;;;;;;;;x;;;
MAC;Massa and Carrara;;;;;;;;;;;;x;;;;
MAC_ADJ;Massa and Carraran;;;;;;;;;;;;x;;;;
TUV;Tannu Tuva;;;;;;;;;;;;x;;;;
TUV_ADJ;Tuvan;;;;;;;;;;;;x;;;;
