# Please keep tags sorted alphabetically when you add/remove country tags #

### Special "Countries"... ###

	#CIV		= "countries/Civilized nation.txt"
	REB		= "countries/rebels.txt"
		CZH		= "countries/Czechoslovakia.txt"
		DON		= "countries/Cossackia.txt"
		EST		= "countries/Estonia.txt"
		GLM		= "countries/Galicia-Lodomeria.txt"
		HUN		= "countries/Hungary.txt"
		IZH		= "countries/Ingria.txt"
		KRA		= "countries/Krakow.txt"
		LAT		= "countries/Latvia.txt"
		LIT		= "countries/Lithuania.txt"
		MDV		= "countries/Moldova.txt"
		MOL		= "countries/Moldavia.txt"
		PLC		= "countries/Poland-Lithuania.txt"
		POL		= "countries/Poland.txt"
		ROM		= "countries/Romania.txt"
		RUS		= "countries/Russia.txt"
		RUT		= "countries/Ruthenia.txt"
		SOV		= "countries/USSR.txt"
		SIE		= "countries/Siebenburgen.txt"
		SLV		= "countries/Slovakia.txt"
		UBD		= "countries/United Baltic Provinces.txt"
		STH		= "countries/Esthland Governorate.txt"
		COU		= "countries/Courland Governorate.txt"
		LIV		= "countries/Livland Governorate.txt"
		UKR		= "countries/Ukraine.txt"
		VLG		= "countries/Volga.txt"
		WAL		= "countries/Wallachia.txt"
		WSF		= "countries/Zapadoslavia.txt"

	## France ##
		BRT		= "countries/Brittany.txt"
		CRS		= "countries/Corsica.txt"
		FRA		= "countries/France.txt"
		LOR		= "countries/Lorraine.txt"
		MNC		= "countries/Monaco.txt"
		NRM		= "countries/Normandy.txt"
		OCC		= "countries/Occitania.txt"
		PAC		= "countries/PAC.txt"
		VFR		= "countries/Nationalist France.txt"
		LTU		= "countries/Latin Union.txt"

	## German Countries ##
		ALS		= "countries/Elsass.txt"
		ANB		= "countries/Anhalt-Bernburg.txt"
		ANH		= "countries/Anhalt.txt"
		ANK		= "countries/Anhalt-Koethen.txt"
		ATB		= "countries/Saxe-Altenburg.txt"
		AUS		= "countries/Austria.txt"
		BAD		= "countries/Baden.txt"
		BAV		= "countries/Bavaria.txt"
		BRA		= "countries/Braunschweig.txt"
		BRE		= "countries/Bremen.txt"
		COB		= "countries/Saxe-Coburg-Gotha.txt"
		DNB		= "countries/Danubian Federation.txt"
		DZG		= "countries/Danzig.txt"
		FRM		= "countries/Frankfurt am Main.txt"
		GCF		= "countries/German Confederation.txt"
		GER		= "countries/Germany.txt"
		HAM		= "countries/Hamburg.txt"
		HAN		= "countries/Hanover.txt"
		HEH		= "countries/Hesse-Homburg.txt"
		HEK		= "countries/Hesse-Kassel.txt"
		HES		= "countries/Hesse-Darmstadt.txt"
		HGL		= "countries/Heligoland.txt"
		HNS		= "countries/Hansa.txt"
		HOH		= "countries/Hohenzollern.txt"
		HOL		= "countries/Holstein.txt"
		KUK		= "countries/Austria-Hungary.txt"
		KNP		= "countries/Kniphausen.txt"
		LAU		= "countries/Lauenburg.txt"
		LIE		= "countries/Liechtenstein.txt"
		LIP		= "countries/Lippe-Detmold.txt"
		LUB		= "countries/Lubeck.txt"
		LUZ		= "countries/Luzica.txt"
		MEC		= "countries/Mecklenburg.txt"
		MEI		= "countries/Saxe-Meiningen.txt"
		MST		= "countries/Mecklenburg-Strelitz.txt"
		NAS		= "countries/Nassau.txt"
		NCT		= "countries/Neuchatel.txt"
		NGF		= "countries/North German Fed.txt"
		OLD		= "countries/Oldenburg.txt"
		PML		= "countries/Pomerelia.txt"
		PRU		= "countries/Prussia.txt"
		PZN		= "countries/Poznan.txt"
		REU		= "countries/Reuss.txt"
		RHI		= "countries/Rhineland.txt"
		RLE		= "countries/Reuss-Lobenstein-Ebersdorf.txt"
		RSR		= "countries/Reuss Senior Line.txt"
		SAA		= "countries/Saar.txt"
		SAX		= "countries/Saxony.txt"
		SCH		= "countries/Schleswig.txt"
		SCL		= "countries/Schaumburg-Lippe.txt"
		SDB		= "countries/Sonderbund.txt"
		SGF		= "countries/South German Fed.txt"
		SGM		= "countries/Sigmaringen.txt"
		SLS		= "countries/Silesia.txt"
		SRS		= "countries/Schwarzburg-Rudolstadt.txt"
		SWG		= "countries/Schwarzburg.txt"
		SWH		= "countries/Schleswig-Holstein.txt"
		SWI		= "countries/Switzerland.txt"
		TST		= "countries/South Tirol.txt"
		WEI		= "countries/Saxe-Weimar.txt"
		WES		= "countries/Westfalen.txt"
		WLD		= "countries/Waldeck.txt"
		WUR		= "countries/Wurttemberg.txt"

	## Iberia ##
		ADO		= "countries/Andorra.txt"
		BSQ		= "countries/Basqueland.txt"
		CAT		= "countries/Catalonia.txt"
		CUO		= "countries/Couto Misto.txt"
		GLC		= "countries/Galicia.txt"
		IBR		= "countries/Iberia.txt"
		KPB		= "countries/Portugal-Brazil.txt"
		POR		= "countries/Portugal.txt"
		SPA		= "countries/Spain.txt"

	## Italy ##
		GEN		= "countries/Genoa.txt"
		ITA		= "countries/Italy.txt"
		LOM		= "countries/Lombardia.txt"
		LUC		= "countries/Lucca.txt"
		LVN		= "countries/Lombardy-Venice.txt"
		MLT		= "countries/Malta.txt"
		MOD		= "countries/Modena.txt"
		NPL		= "countries/Naples.txt"
		PAP		= "countries/Papal States.txt"
		PAR		= "countries/Parma.txt"
		RME 	= "countries/Roman Empire.txt"
		RMG		= "countries/Romagna.txt"
		ROR 	= "countries/Republic of Rome.txt"
		SAR		= "countries/Sardinia-Piedmont.txt"
		SIC		= "countries/Two Sicilies.txt"
		SMR		= "countries/San Marino.txt"
		SRD		= "countries/Sardinia.txt"
		SVY		= "countries/Savoy.txt"
		SYC		= "countries/Sicily.txt"
		TRE		= "countries/Trieste.txt"
		TUS		= "countries/Tuscany.txt"
		VEN		= "countries/Venice.txt"

	## Low Countries ##
		BEL		= "countries/Belgium.txt"
		BRG 	= "countries/Burgundy.txt"
		FLA		= "countries/Flanders.txt"
		FRI		= "countries/Friesland.txt"
		LBG		= "countries/Limburg.txt"
		LUX		= "countries/Luxemburg.txt"
		MRN		= "countries/Moresnet.txt"
		NET		= "countries/Netherlands.txt"
		WLL		= "countries/Wallonia.txt"

	## Scandinavia ##
		DEN		= "countries/Denmark.txt"
		FIN		= "countries/Finland.txt"
		FRO		= "countries/Faroe.txt"
		ICL		= "countries/Iceland.txt"
		JAN		= "countries/JanMayen.txt"
		NOR		= "countries/Norway.txt"
		SCA		= "countries/Scandinavia.txt"
		SWE		= "countries/Sweden.txt"

### Asia ###

	## Central Asia ##
		BDK		= "countries/Badakhshan.txt"
		BUK		= "countries/Bukkhara.txt"
		CRL		= "countries/Chitral.txt"
		DUR		= "countries/Durrani Empire.txt"
		GIL		= "countries/Gilgit.txt"
		HNZ		= "countries/Hunza.txt" 
		KAZ		= "countries/Kazakhstan.txt"
		KHI		= "countries/Khiva.txt"
		KOH		= "countries/Kohistan.txt"
		KOK		= "countries/Kokand.txt"
		KYR		= "countries/Kyrgyzstan.txt"
		SWA		= "countries/Swat.txt"
		TAJ		= "countries/Tajikstan.txt"
		TAR		= "countries/Tatarstan.txt"
		TKM		= "countries/Turkmenistan.txt"
		TKS		= "countries/Turkestan.txt"
		UYG		= "countries/Uyghurstan.txt"
		UZB		= "countries/Uzbekistan.txt"

	## East Asia ##
		CHI		= "countries/China.txt"
		FJN		= "countries/Fujian.txt"
		GMJ		= "countries/Guominjun.txt"
		GNG		= "countries/Guangdong.txt"
		GIZ		= "countries/Guizhou.txt"
		GXI		= "countries/Guangxi Clique.txt"
		HNN		= "countries/Hunan.txt"
		HUI		= "countries/Anhui.txt"
		IMG		= "countries/Inner Mongolia.txt"
		KMT		= "countries/Nationalist China.txt"
		KOR		= "countries/Korea.txt"
		MCK		= "countries/Manchukuo.txt"
		MGL		= "countries/Mongolia.txt"
		NIA		= "countries/Nian.txt"
		PGG		= "countries/Pingnan Guo.txt"
		QNG		= "countries/Qing China.txt"
		SXI		= "countries/Shanxi.txt"
		SZC		= "countries/Sichuan.txt"
		TAI		= "countries/Taiwan.txt"
		TIB		= "countries/Tibet.txt"
		TPG		= "countries/Taiping.txt"
		XBI		= "countries/Xibei San Ma.txt"
		XIN		= "countries/Xinjiang.txt"
		YNN		= "countries/Yunnan.txt"

	## Japan ##
		AIN		= "countries/Ainu.txt"
		CHO		= "countries/Choshu.txt"
		EZO		= "countries/Ezo.txt"
		JAP		= "countries/Japan.txt"
		KAG		= "countries/Kaga.txt"
		RYU		= "countries/Ryukyu.txt"
		SAT		= "countries/Satsuma.txt"
		SEN		= "countries/Sendai.txt"
		TKG		= "countries/Shogunate Japan.txt"
		TOS		= "countries/Tosa.txt"
		YZW		= "countries/Yonezawa.txt"
		MTM		= "countries/Matsumae.txt"
		J00		= "countries/Tanegashima.txt"
		J01		= "countries/Miyakonojo.txt"
		J02		= "countries/Takanabe.txt"
		J03		= "countries/Obi.txt"
		J04		= "countries/Nobeoka.txt"
		J05		= "countries/Sadowara.txt"
		J06		= "countries/Hitoyoshi.txt"
		J07		= "countries/Kumamoto.txt"
		J08		= "countries/Uto.txt"
		J09		= "countries/Tsushima-Fuchu.txt"
		J10		= "countries/Hirado.txt"
		J11		= "countries/Fukue.txt"
		J12		= "countries/Omura.txt"
		J13		= "countries/Shimabara.txt"
		J14		= "countries/Saga.txt"
		J15		= "countries/Kashima.txt"
		J16		= "countries/Ogi.txt"
		J17		= "countries/Karatsu.txt"
		J18		= "countries/Yanagawa.txt"
		J19		= "countries/Kurume.txt"
		J20		= "countries/Fukuoka.txt"
		J21		= "countries/Akizuki.txt"
		J22		= "countries/Kokura.txt"
		J23		= "countries/Nakatsu.txt"
		J24		= "countries/Mori.txt"
		J25		= "countries/Kitsuki.txt"
		J26		= "countries/Hiji.txt"
		J27		= "countries/Funai.txt"
		J28		= "countries/Usuki.txt"
		J29		= "countries/Saeki.txt"
		J30		= "countries/Oka.txt"
		J31		= "countries/Tokushima.txt"
		J32		= "countries/Takamatsu.txt"
		J33		= "countries/Marugame.txt"
		J34		= "countries/Tadotsu.txt"
		J35		= "countries/Saijo.txt"
		J36		= "countries/Iyo-Matsuyama.txt"
		J37		= "countries/Imabari.txt"
		J38		= "countries/Ozu.txt"
		J39		= "countries/Uwajima.txt"
		J40		= "countries/Iyo-Yoshida.txt"
		J41		= "countries/Chofu.txt"
		J42		= "countries/Tokuyama.txt"
		J43		= "countries/Iwakuni.txt"
		J44		= "countries/Tsuwano.txt"
		J45		= "countries/Hamada.txt"
		J46		= "countries/Matsue.txt"
		J47		= "countries/Hirose.txt"
		J48		= "countries/Tottori.txt"
		J49		= "countries/Hiroshima.txt"
		J50		= "countries/Fukuyama.txt"
		J51		= "countries/Niimi.txt"
		J52		= "countries/Bitchu-Matsuyama.txt"
		J53		= "countries/Nariwa.txt"
		J54		= "countries/Ashimori.txt"
		J55		= "countries/Asao.txt"
		J56		= "countries/Okada.txt"
		J57		= "countries/Niwase.txt"
		J58		= "countries/Kamogata.txt"
		J59		= "countries/Okayama.txt"
		J60		= "countries/Mimasaka-Katsuyama.txt"
		J61		= "countries/Tsuyama.txt"
		J62		= "countries/Kishu.txt"
		J63		= "countries/Tamaru.txt"
		J64		= "countries/Toba.txt"
		J65		= "countries/Tsu.txt"
		J66		= "countries/Ise-Kameyama.txt"
		J67		= "countries/Kanbe.txt"
		J68		= "countries/Hatta.txt"
		J69		= "countries/Komono.txt"
		J70		= "countries/Kuwana.txt"
		J71		= "countries/Nagashima.txt"
		J72		= "countries/Hikone.txt"
		J73		= "countries/Omi-Miyagawa.txt"
		J74		= "countries/Omizo.txt"
		J75		= "countries/Yamakami.txt"
		J76		= "countries/Minakuchi.txt"
		J77		= "countries/Mikami.txt"
		J78		= "countries/Zeze.txt"
		J79		= "countries/japan_daimyo/Yodo.txt"
		J80		= "countries/japan_daimyo/Yagyu.txt"
		J81		= "countries/japan_daimyo/Koriyama.txt"
		J82		= "countries/japan_daimyo/Yanagimoto.txt"
		J83		= "countries/japan_daimyo/Takatori.txt"
		J84		= "countries/japan_daimyo/Yamato-Shinjo.txt"
		J85		= "countries/japan_daimyo/Tawaramoto.txt"
		J86		= "countries/japan_daimyo/Koizumi.txt"
		J87		= "countries/japan_daimyo/Tannan.txt"
		J88		= "countries/japan_daimyo/Sayama.txt"
		J89		= "countries/japan_daimyo/Kishiwada.txt"
		J90		= "countries/japan_daimyo/Hakata.txt"
		J91		= "countries/japan_daimyo/Takatsuki.txt"
		J92		= "countries/japan_daimyo/Asada.txt"
		J93		= "countries/japan_daimyo/Amagasaki.txt"
		J94		= "countries/japan_daimyo/Akashi.txt"
		J95		= "countries/japan_daimyo/Himeji.txt"
		J96		= "countries/japan_daimyo/Ako.txt"
		J97		= "countries/japan_daimyo/Tatsuno.txt"
		J98		= "countries/japan_daimyo/Yamasaki.txt"
		J99		= "countries/japan_daimyo/Fukumoto.txt"
		JA0		= "countries/japan_daimyo/Mikusa.txt"
		JA1		= "countries/japan_daimyo/Ono.txt"
		JA2		= "countries/japan_daimyo/Sanda.txt"
		JA3		= "countries/japan_daimyo/Sasayama.txt"
		JA4		= "countries/japan_daimyo/Tanba-Kameyama.txt"
		JA5		= "countries/japan_daimyo/Sonobe.txt"
		JA6		= "countries/japan_daimyo/Kashiwabara.txt"
		JA7		= "countries/japan_daimyo/Ayabe.txt"
		JA8		= "countries/japan_daimyo/Fukuchiyama.txt"
		JA9		= "countries/japan_daimyo/Izushi.txt"
		JB0		= "countries/japan_daimyo/Toyooka.txt"
		JB1		= "countries/japan_daimyo/Muraoka.txt"
		JB2		= "countries/japan_daimyo/Miyazu.txt"
		JB3		= "countries/japan_daimyo/Murakami.txt"
		JB4		= "countries/japan_daimyo/Kurokawa.txt"
		JB5		= "countries/japan_daimyo/Shibata.txt"
		JB6		= "countries/japan_daimyo/Muramatsu.txt"
		JB7		= "countries/japan_daimyo/Mineoka.txt"
		JB8		= "countries/japan_daimyo/Echigo-Nagaoka.txt"
		JB9		= "countries/japan_daimyo/Yoita.txt"
		JC0		= "countries/japan_daimyo/Shiiya.txt"
		JC1		= "countries/japan_daimyo/Takada.txt"
		JC2		= "countries/japan_daimyo/Itoigawa.txt"
		JC3		= "countries/japan_daimyo/Toyama.txt"
		JC4		= "countries/japan_daimyo/Daishoji.txt"
		JC5		= "countries/japan_daimyo/Maruoka.txt"
		JC6		= "countries/japan_daimyo/Fukui.txt"
		JC7		= "countries/japan_daimyo/Sabae.txt"
		JC8		= "countries/japan_daimyo/Ohno.txt"
		JC9		= "countries/japan_daimyo/Echizen-Katsuyama.txt"
		JD0		= "countries/japan_daimyo/Tsuruga.txt"
		JD1		= "countries/japan_daimyo/Obama.txt"
		JD2		= "countries/japan_daimyo/Gujoh.txt"
		JD3		= "countries/japan_daimyo/Owari.txt"

	## North Asia ##
		ALT		= "countries/Altai Republic.txt"
		BRY		= "countries/Buryatia.txt"
		KAM		= "countries/Kamchatka.txt"
		KML		= "countries/Kumul.txt"
		KRL		= "countries/Karelia.txt"
		SIB		= "countries/Siberian Republic.txt"
		TNT		= "countries/Tannu Tuva.txt"
		URA		= "countries/Ural Republic.txt"
		YAK		= "countries/Yakutia.txt"

	## South Asia ##
		ASM		= "countries/Assam.txt"
		AWA		= "countries/Awadh.txt"
		BAS		= "countries/Bastar.txt"
		BER		= "countries/Beroda.txt"
		#BGP		= "countries/Banganapalle.txt"
		BHO		= "countries/Bhopal.txt"
		BHP		= "countries/Bahawalpur.txt"
		BHU		= "countries/Bhutan.txt"
		BIH		= "countries/Bihar.txt"
		BIK		= "countries/Bikaner.txt"
		BLC		= "countries/Baluchistan.txt"
		BNG		= "countries/Bengal.txt"
		BOR		= "countries/Bhor.txt"
		BUN		= "countries/Bundelkhand.txt"
		CBH		= "countries/Cooch Behar.txt"
		CHA		= "countries/Chamba.txt"
		CHH		= "countries/Chhatarpur.txt"
		COC		= "countries/Cochin.txt"
		DRA		= "countries/Dravidistan.txt"
		GRH		= "countries/Garhwal.txt"
		GWA		= "countries/Gwailor.txt"
		HDU		= "countries/Hindustan.txt"
		HND		= "countries/India.txt"
		HYD		= "countries/Hyderabad.txt"
		IOT		= "countries/Indian Ocean Territory.txt"
		IND		= "countries/Indore.txt"
		JAI		= "countries/Jaipur.txt"
		JAS		= "countries/Jaisalmer.txt"
		JEY		= "countries/Jeypura.txt"
		JOD		= "countries/Jodhpur.txt"
		JUN		= "countries/Junagadh.txt"
		KAL		= "countries/Kalat.txt"
		KAS		= "countries/Kashmir.txt"
		KHA		= "countries/Khasi.txt"
		KHP		= "countries/Khairpur.txt"
		KRN		= "countries/Karnatak.txt"
		KUT		= "countries/Kutch.txt"
		LAD		= "countries/Ladakh.txt"
		LAS		= "countries/Las Bela.txt"
		MAH		= "countries/Maharashtra.txt"
		MAI		= "countries/Idar.txt"
		MAK		= "countries/Makran.txt"
		#MAN		= "countries/Mandi.txt"
		MEW		= "countries/Mewar.txt"
		MIZ		= "countries/Mizoram.txt"
		MLD		= "countries/Maldives.txt"
		MNP		= "countries/Manipur.txt"
		MRT		= "countries/Marathas.txt"
		MUD		= "countries/Mudhol.txt"
		MUG		= "countries/Mughalistan.txt"
		MYS		= "countries/Mysore.txt"
		NAG		= "countries/Nagpur.txt"
		NEP		= "countries/Nepal.txt"
		NGA		= "countries/Nagalim.txt"
		ORI		= "countries/Orissa.txt"
		PAK		= "countries/Pakistan.txt"
		PAL		= "countries/Palanpur.txt"
		PNJ		= "countries/Panjab.txt"
		PTL		= "countries/Patiala.txt"
		RAM 	= "countries/Rampur.txt"
		RAJ		= "countries/Rajputana.txt"
		REW		= "countries/Rewah.txt"
		RJK		= "countries/Rajkot.txt"
		RPP		= "countries/Rajpipla.txt"
		SHI		= "countries/Shimla.txt"
		SIK		= "countries/Sikkim.txt"
		SIN		= "countries/Sind.txt"
		SRG		= "countries/Surguja.txt"
		SRI		= "countries/Sri Lanka.txt"
		SUR		= "countries/Dharampur.txt"
		TRA		= "countries/Travancore.txt"
		TRP		= "countries/Tripura.txt"

### Indochina ###
	BGN		= "countries/Bulungan.txt"
	BTN		= "countries/Buton.txt"
	BUR		= "countries/Burma.txt"
	CAM		= "countries/Cambodia.txt"
	CHK		= "countries/Champasak.txt"
	DAI		= "countries/Dai Viet.txt"
	HQJ		= "countries/Black Flag.txt"
	IDO		= "countries/Indochina.txt"
	KAR		= "countries/Karen.txt"
	KCH		= "countries/Kachin.txt"
	LUA		= "countries/Luang Prabang.txt"
	LUW		= "countries/Luwu.txt"
	LXA		= "countries/Lan Xang.txt"
	PAT		= "countries/Pattani.txt"
	PTK		= "countries/Pontianak.txt"
	SBS		= "countries/Sambas.txt"
	SHA		= "countries/Shan.txt"
	SIA		= "countries/Siam.txt"
	STG		= "countries/Sintang.txt"
	WIA		= "countries/Wiang Chhan.txt"

### East Indies ###
	ATJ		= "countries/Atjeh.txt"
	BAL		= "countries/Bali.txt"
	BIM		= "countries/Bima.txt"
	BRU		= "countries/Brunei.txt"
	DJA		= "countries/Jambi.txt"
	INO		= "countries/Indonesia.txt"
	JAV		= "countries/Java.txt"
	JOH		= "countries/Johore.txt"
	KLM		= "countries/Kalimantan.txt"
	KTI		= "countries/Kutai.txt"
	LAN		= "countries/Lanfang.txt"
	MAL		= "countries/Maluku.txt"
	MLY		= "countries/Malaya.txt"
	PHG		= "countries/Pahang.txt"
	PHL		= "countries/Philippines.txt"
	PIT		= "countries/Pitu.txt"
	PRK		= "countries/Perak.txt"
	RIA		= "countries/Riau-Lingga.txt"
	SAK		= "countries/Siak.txt"
	SGP		= "countries/Singapore.txt"
	SLA		= "countries/Selimbau.txt"
	SLG		= "countries/Selangor.txt"
	SLW		= "countries/Sulawesi.txt"
	SUL		= "countries/Sulu.txt"
	SWK		= "countries/Sarawak.txt"
	TMR		= "countries/Timor.txt"

### Near East ###
	ABU		= "countries/Abu Dhabi.txt"
	AFG		= "countries/Afghanistan.txt"
	ANT		= "countries/Anatolia.txt"
	ARA		= "countries/Arabia.txt"
	ARU		= "countries/Arab Union.txt"
	ASY		= "countries/Assyria.txt"
	AZH		= "countries/Anazzah.txt"
	BAB		= "countries/Babylonia.txt"
	BDN		= "countries/Bahdinan.txt"
	BHR		= "countries/Bahrain.txt"
	BHT		= "countries/Bohtan.txt"
	BNB		= "countries/Baban.txt"
	BTL		= "countries/Bitlis.txt"
	CLC		= "countries/Cilicia.txt"
	CYP		= "countries/Cyprus.txt"
	DRU		= "countries/Druze.txt"
	FDL		= "countries/Fadhli.txt"
	GLN		= "countries/Gilan.txt"
	HAL		= "countries/Hail.txt"
	HDJ		= "countries/Hedjaz.txt"
	HRT		= "countries/Herat.txt"
	HTY		= "countries/Hatay.txt"
	IRQ		= "countries/Iraq.txt"
	ISR		= "countries/Israel.txt"
	JOR		= "countries/Jordan.txt"
	KDS		= "countries/Kurdistan.txt"
	KHR		= "countries/Khorasan.txt"
	KHZ		= "countries/Khuzestan.txt"
	KTH		= "countries/Kathiri.txt"
	KUN		= "countries/Kunduz.txt"
	KWT		= "countries/Kuwait.txt"
	LBN		= "countries/Lebanon.txt"
	LHJ		= "countries/Lahej.txt"
	MHR		= "countries/Mahra.txt"
	MKN		= "countries/Mukriyan.txt"
	NEJ		= "countries/Nejd.txt"
	NYE		= "countries/North Yemen.txt"
	OMA		= "countries/Oman.txt"
	PER		= "countries/Persia.txt"
	PLS		= "countries/Palestine.txt"
	PNT		= "countries/Pontus.txt"
	QAT		= "countries/Qatar.txt"
	RDL		= "countries/Ardalan.txt"
	SAM		= "countries/Samos.txt"
	SRN		= "countries/Soran.txt"
	SYR		= "countries/Syria.txt"
	URM		= "countries/Urmia.txt"
	YEM		= "countries/Yemen.txt"
	ZFN		= "countries/Zafaranlu.txt"
	MYN		= "countries/Maymana.txt"

### Africa ###
	
	## East Africa ##
		AWS		= "countries/Awsa.txt"
		CMS		= "countries/Comoros.txt"
		DAR		= "countries/Darfur.txt"
		ETH		= "countries/Ethiopia.txt"
		GEL		= "countries/Geledi.txt"
		GON		= "countries/Gonder.txt"
		HAR		= "countries/Harar.txt"
		HBY		= "countries/Hobyo.txt"
		KAF		= "countries/Kaffa.txt"
		KNY		= "countries/Kenya.txt"
		MAD		= "countries/Madagascar.txt"
		MAJ		= "countries/Majeerteen.txt"
		MAU		= "countries/Mauritius.txt"
		SEY		= "countries/Seychelles.txt"
		SHK		= "countries/Shilluk.txt"
		SHW		= "countries/Shewa.txt"
		SID		= "countries/Sidama.txt"
		SOM		= "countries/Somalia.txt"
		SUD		= "countries/Sudan.txt"
		TIG		= "countries/Tigray.txt"
		TNZ		= "countries/Tanzania.txt"
		WRL		= "countries/Warsangali.txt"
		ZAN		= "countries/Zanzibar.txt"

	## Lake Victoria ##
		BHY		= "countries/Buhaya.txt"
		BNY		= "countries/Bunyoro.txt"
		BUG		= "countries/Buganda.txt"
		BUH		= "countries/Buha.txt"
		KGW		= "countries/Karagwe.txt"
		NKO		= "countries/Nkore.txt"
		TOR		= "countries/Tooroo.txt"
		UUW		= "countries/Ussuwi.txt"
		WAN		= "countries/Wanga.txt"

	## Equatorial Africa ##
		AZA		= "countries/Azande.txt"
		BRD		= "countries/Urundi.txt"
		BRM		= "countries/Baguirmi.txt"
		CAR		= "countries/Central African Republic.txt"
		CGO		= "countries/Congo-Brazzaville.txt"
		CHD		= "countries/Chad.txt"
		CMR		= "countries/Cameroon.txt"
		CNG		= "countries/Congo Free State.txt"
		EQG		= "countries/Equatorial Guinea.txt"
		GAB		= "countries/Gabon.txt"
		KON		= "countries/Kongo.txt"
		KUB		= "countries/Kuba.txt"
		KZB		= "countries/Kazembe.txt"
		LBA		= "countries/Luba.txt"
		LOA		= "countries/Loango.txt"
		LUN		= "countries/Lunda.txt"
		MAF		= "countries/Mittelafrika.txt"
		MNG		= "countries/Mongo.txt"
		RWA		= "countries/Ruanda.txt"
		WAD		= "countries/Wadai.txt"

	## North Africa ##
		ABA		= "countries/Ait Abbas.txt"
		ALD		= "countries/Aldjazair.txt"
		CYR		= "countries/Cyrenaica.txt"
		EGY		= "countries/Egypt.txt"
		LBY		= "countries/Libya.txt"
		MGH		= "countries/Maghreb.txt"
		MOR		= "countries/Morocco.txt"
		RGA		= "countries/Algiers.txt"
		TRI		= "countries/Tripoli.txt"
		TRZ		= "countries/Trarza.txt"
		TUG		= "countries/Tuggurt.txt"
		TUN		= "countries/Tunis.txt"

	## Southern Africa ##
		AGC		= "countries/Angoche.txt"
		ANG		= "countries/Angola.txt"
		BSH		= "countries/Basotho.txt"
		GAZ		= "countries/Gaza.txt"
		MAT		= "countries/Matabele.txt"
		MLW		= "countries/Malawi.txt"
		MOZ		= "countries/Mozambique.txt"
		NAL		= "countries/Natalia.txt"
		ORA		= "countries/Oranje.txt"
		RHO		= "countries/Southern Rhodesia.txt"
		SAF		= "countries/South Africa.txt"
		SHO		= "countries/Shona.txt"
		SUA		= "countries/Suazi.txt"
		TRN		= "countries/Transvaal.txt"
		TSW		= "countries/Botswana.txt"
		VLK		= "countries/Volkstaat.txt"
		XHO		= "countries/Xhosa.txt"
		ZAM		= "countries/Zambia.txt"
		ZBW		= "countries/Zimbabwe.txt"
		ZOU		= "countries/Zoutpansberg.txt"
		ZUL		= "countries/Zulu.txt"

	## South-West Africa ##
		NMB		= "countries/Namibia.txt"

	## West Africa ##
		ADW		= "countries/Adamawa.txt"
		ARO		= "countries/Aro.txt"
		ASH		= "countries/Ashanti.txt"
		BEN		= "countries/Benin.txt"
		BIA		= "countries/Biafra.txt"
		BKF		= "countries/Burkina Faso.txt"
		BMK		= "countries/Bamako.txt"
