religious_minority_oppression;Oppressed Religious Minorities;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
religious_minority_oppression_desc;Religious minorities are being mistreated, resulting in ever increasing militancy and consciousness of these people.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
armenian_diaspora;Armenian Diaspora;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
armenian_diaspora_desc;This province contains a minority population that comes from the Armenian diaspora.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
earthquake_devastation;Earthquake Devastation;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
earthquake_devastation_desc;A powerful earthquake has recently devastated this province, leaving thousands homeless and disrupting the lives of scores of people.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
education_fully_funded;Excellent Education System;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
health_care_fully_funded;Excellent Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
neglected_education;Neglected Education Funding;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
trinket_health_care_fully_funded;Fully Funded Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
low_health_care_fully_funded;Fully Funded Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
acceptable_health_care_fully_funded;Fully Funded Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
good_health_care_fully_funded;Fully Funded Healthcare;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
low_schools_fully_funded;Fully Funded Education;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
acceptable_schools_fully_funded;Fully Funded Education;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
good_schools_fully_funded;Fully Funded Education;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
rally_tribesmen;Rally Tribesmen;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
rally_tribesmen_desc;A portion of our people leave a nomadic lifestyle with bits of a centuries old warrior culture. By reaching to these people and rallying them to our cause, we can raise a much greater army to fulfill our country's destiny.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
tanzimat_land_reform;Ottoman Land Code;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
tanzimat_land_reform_desc;The Ottoman Land Code was the beginning of a systematic land reform program during the Tanzimat period of the Ottoman Empire. The reasons behind the law were twofold. (1) to increase tax revenue, and (2) to exercise greater state control over the area.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
war_economy_ships;Emergency Ship Building;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
preparing_for_war;Preparing for War;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
preparing_for_war_desc;War with the North is inevitable and we must be ready for it.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
missionary_activity;Missionary Activity;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
missionary_activity_desc;Foreign missionaries are active in our country.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
exploiting_the_land;Exploiting the Land;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
desc_exploiting_the_land;The time of the Zemene Mesafint is an arduous and perilous time, so all rulers are required to cut costs and take as much money from their population as they can.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
small_immigration_boom;Immigration Boom;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
desc_small_immigration_boom;Due to favorable socio-economical conditions, this province is experiencing an immigration boom.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
disunited_country;Disunited Country;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
disunited_country_desc;Warlords, regionalism and outlaws threaten to rip our country apart. A good part of our manpower and government efforts are directed exclusively to maintain our country together. Our ruler is frequently in campaign against rebellious warlords.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
tewodros_reforms;Kassa Hailu;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
tewodros_reforms_desc;While our current ruler Kassa Hailu might be one of the finest strategists in recent history, he was also a shifta, an outlaw, and this lowers our nation in the eyes of others.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
colonial_museum_of_natural_history;Museum of Natural History;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
colonial_museum_of_natural_history_desc;A Museum of Natural History has been established in our country.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
plantation;Plantations and Mines;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
serial_killer;Serial Killer On The Loose;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_serial_killerA degenerate is committing insane and gruesome murders in the area. Who's gonna be next?;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;;
silver_age;A Silver Age;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
silver_age_desc;Our most excellent leader will take us through a time of trouble to a better tomorrow.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
pancasila;Pancasila;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
pancasila_desc;Indonesia must stand united! Under a common leadership, nothing will stop us.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
bazaari_strike;Bazaari strike;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
bazaari_strike_desc;Our merchant elites shut down all activities. The economy is taking a heavy blow.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
exemplary_troops;Exemplary troops;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
exemplary_troops_desc;By their feats or even by their mere being, our elite troops inspire the most basic ruffians, giving them the morale needed to charge a firing machine gun.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
submarine_warfare;Submarine warfare;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
submarine_warfare_desc;We are leading innovation in naval technology and instilling fear in the heart of our enemies!;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
rancho;Rancho California;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
rancho_desc;Our generous donations and land grants allow for a quick population of the area, leading to an unique life-style.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
reading;Reading;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
reading_desc;A great work of literature inspired the people to read. The masses may become educated... The horror!;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
hague_convention;Ratified Hague Convention;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
hague_convention_desc;We have signed the Hague Convention to further an era of peace and stability in the world.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
camillo_cavour;Camillo Cavour;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
camillo_cavour_desc;Our excellent minister is leading our nation in the right way. Modernity is now at our doorstep. Huzzah!;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
small_baby_boom;Baby Boom;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
dust_bowl;Dust Bowl;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
emigrant_aid_company;Emigrant Aid Company;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
bleeding_state;Bleeding State;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
free_staters_national;Free Staters Prohibition;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
free_staters_national_desc;A few free staters settlers were prohibited from migrating to another state, generating a public commotion.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
copperhead_democrats_national;Copperhead Democrats;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
copperhead_democrats_national_desc;Abolitionist democrats and southern pro-slavery groups are debating the future of slavery in our nation.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
underground_railroad_shutdown;Underground Railroad Shutdown;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
underground_railroad_shutdown_desc;A few underground railroads in our nation were shut down and this act is fresh in the memory of the American people.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fugitive_slave;Fugitive Slave;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fugitive_slave_desc;A recent decision regarding a fugitive slave is still fresh in the memory of our people.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
abolitionist_pamphlets;Abolitionist Pamphlets;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
slave_market;Slave Market;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
drinking_gourd;Drinking Gourd;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
fire_eaters;Fire-Eaters;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
yankee_doodle;Yankee Doodle;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
wish_I_was_dixie;Dixie Identity;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
southern_manorialism;Southern Manorialism;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
southern_pride;Southern Pride;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
desc_southern_pride;The dixies are a proud people, proud of their land and proud of the beauty of their women.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
enclosures;Enclosures;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
desc_enclosures;The legal process of enclosing a number of small landholdings to create one larger farm. Once enclosed, use of the land became restricted to the owner, and it ceased to be common land for communal use.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
haussmanns_renovations;Haussmann's Renovations;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
desc_haussmanns_renovations;The Haussmann's renovations, envisioned by Georges-Eugene Haussmann, included the demolition of crowded and unhealthy medieval neighborhoods, the building of wide avenues, parks and squares, the annexation of the suburbs surrounding Paris, and the construction of new sewers, fountains and aqueducts.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
foreign_claims;Foreign Claims;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
foreign_claims_desc;Another nation is claiming this province, a claim that they will lose soon enough.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
IS_IN_DEFAULT_TO;Is in default to this country.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
IS_NOT_IN_DEFAULT_TO;Is not in default to this country.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
warship_commissioned;Warship Delivered;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
warship_commissioned_desc;Constructing, delivering or receiving a new, foreign warship is a complicated matter. Sailors need to be trained, officers instructed and the bureaucratic paperwork needs to be done. Because of that, it will take some time for us to be able to get involved in matters like this again.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ironclad_commision;Iron Clad Commissions;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
sino_portuguese_treaty_of_peking_signataire;Signatory of the Treaty of Peking;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
local_distribution_channels_und_electricity;Commercial Retailers and Electrical Lighting;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
desc_local_distribution_channels_und_electricity;New and efficient modes and structures for the selling and reselling of goods have been implemented in this province, leaving farmers free to tend their fields and electrical lights have been put up on the streets in this province, increasing the efficiency of all local production, as workers work in new and well lit environs.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
freedom_of_religion;Freedom of Religion;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
freedom_of_religion_desc;No one is forced or coerced into following any religion in our country, religious minorities have a protected status.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
repatriation;Repatriation;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
desc_repatriation;Refugee Camps, population exchanges, mass expulsions. Whatever the reason, we have lots of people to repatriate and because of that we are making more space for them.;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
gaslights;Gas Lights;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
gaslights_desc;The introduction of gas lights meant that predefined areas like small rooms or big factory floors could be enlightened. This meant that people were no longer limited by sunrise and sunset.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
local_nitroglycerin_and_machine_tools;Mechanized Mining;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;
desc_local_nitroglycerin_and_machine_tools;The mining process in this province is carried out with new and mechanized tools as well as new explosives, increasing the efficiency of local mining operations and the size of mines.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
modern_sail_ships;Modern Sail Ships;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
modern_sail_ships_desc;Modern techniques of building, equipping and staffing sail ships allow for more effective and powerful ships.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
population_exchange_with_turkey;Population Exchange with Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
albania_exchange;Albania Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
bosnia_exchange;Bosnia Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
montenegro_exchange;Montenegro Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
southern_serbia_exchange;Southern Serbia Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
macedonia_exchange;Dobrudja Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
dobrudja_exchange;Albania Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
bulgaria_exchange;Bulgaria Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
eastern_rumelia_exchange;Albania Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
thessalia_exchange;Thessaly Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
southern_macedonia_exchange;Southern Macedonia Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
