#Most keys defined in the...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
synthetic_oil_factory;Synthetic Oil Factory;Usine d'huile de synthèse;Syntheseölfabrik;;;;;;;;;;;
synthetic_oil_factory_desc;Using coal, the synthetic oil factory produces oil out of that coal. Vital for nations that do not have ready access to oil.;L'usine d'huile de synthèse produit de l'huile à partir de charbon. Cette huile est vitale pour les nations qui n'ont pas accès au pétrole.;Die Syntheseölfabrik produziert Öl aus Kohle. Unerlässlich für Nationen, die keinen Zugang zu Ölvorkommen haben.;;;;;;;;;;;
fuel_refinery;Fuel Refinery;Raffinerie de pétrole;Treibstoffraffinerie;;;;;;;;;;;
fuel_refinery_desc;The fuel factory processes oil into fuel for automobiles.;La raffinerie transforme le pétrole en carburant pour les automobiles.;Die Treibstoffraffinerie verarbeitet Öl zu Treibstoffen für Automobile.;;;;;;;;;;;
steamer_shipyard;Steamer Shipyard;Chantier de construction de steamers;Dampferwerft;;;;;;;;;;;
steamer_shipyard_desc;Steamers are a huge improvement over clippers because they are independent from wind and can also be built bigger and sturdier. Steel and coal are the prerequisites for steamers.;Les bateaux à vapeur, ou steamers, constituent un progrès majeur par rapport aux bateaux à voile, car ils ne dépendent pas du vent. De plus, ils peuvent être plus grands et plus robustes. L'acier et le charbon sont indispensables aux steamers.;Dampfer stellen eine gewaltige Verbesserung gegenüber den Klippern dar, da sie windunabhängig und größer sind und stabiler gebaut werden können. Für den Dampferbau sind Stahl und Kohle erforderlich.;;;;;;;;;;;
clipper_shipyard;Clipper Shipyard;Chantier de construction de clippers;Klipperwerft;;;;;;;;;;;
clipper_shipyard_desc;Clippers are simple commercial ships using sails and wind for movement. Fabric and lumber are needed in this shipyard.;Les clippers sont de simples navires commerciaux qui utilisent leurs voiles et le vent pour se déplacer. Ce chantier naval a besoin de tissus et de bois.;Klipper sind einfache Handelssegler. Ihre Werften brauchen Stoff und Holz.;;;;;;;;;;;
steel_factory;Steel Factory;Aciérie;Stahlfabrik;;;;;;;;;;;
steel_factory_desc;Here, Iron and Coal are used to produce steel. Steel is used to produce weapons, railways, and a wide range of other buildings and items.;Du fer et du charbon sont ici utilisés pour produire de l'acier. L'acier permet de fabriquer des armes, des voies ferrées ainsi qu'un large éventail de bâtiments et autres éléments.;Hier werden Eisen und Kohle zur Stahlproduktion eingesetzt. Stahl wird bei der Produktion Bau von Waffen, Eisenbahnschienen und einer breiten Palette anderer Gebäude und Gegenstände eingesetzt.;;;;;;;;;;;
artillery_factory;Steel Artillery Factory;;;;;;;;;;;;;
artillery_factory_desc;Using steel and explosives, artillery is produced. Artillery greatly enhances the firepower of army divisions.;Les pièces d'artillerie sont produites avec de l'acier et des explosifs. L'artillerie renforce considérablement la puissance de feu des divisions armées.;Artilleriegeschütze werden mit Stahl und Sprengstoffen produziert. Artillerie erhöht die Feuerkraft von Armeedivisionen stark.;;;;;;;;;;;
small_arms_factory;Small Arms Factory;Usine d'armes légères;Handfeuerwaffenfabrik;;;;;;;;;;;
small_arms_factory_desc;Steel and ammunitions are required to produce small arms. These are the basic equipment for all newly raised divisions.;De l'acier et des munitions sont nécessaires pour produire des armes légères. Il s'agit de l'équipement de base de toutes les divisions nouvellement formées.;Stahl und Munition sind zur Herstellung von Handfeuerwaffen erforderlich, die die Grundausrüstung für alle neuen Divisionen darstellen.;;;;;;;;;;;
explosives_factory;Explosives Factory;Usine d'explosifs;Sprengstofffabrik;;;;;;;;;;;
explosives_factory_desc;Using fertilizer and ammunition, explosives are produced. These explosives were needed mainly for artillery.;Les explosifs sont produits à partir d'engrais et de munitions. Ils étaient principalement utilisés par l'artillerie.;Mit Dünger und Munition werden Sprengstoffe hergestellt, die hauptsächlich von der Artillerie benötigt werden. ;;;;;;;;;;;
ammunition_factory;Ammunition Factory;Usine de munitions;Munitionsfabrik;;;;;;;;;;;
ammunition_factory_desc;Here, a wide variety of ammunitions are produced. The prerequisites are iron, coal and sulphur.;C'est ici que sont produits différents types de munitions à partir de fer, de charbon et de soufre.;Hier werden viele Arten von Munition produziert. Die Voraussetzungen sind Eisen, Kohle und Schwefel.;;;;;;;;;;;
canned_food_factory;Canned Food Factory;Usine de conserves alimentaires;Konservenfabrik;;;;;;;;;;;
canned_food_factory_desc;Iron and Cattle are necessary to produce canned food. This canned food is primarily used to provide foodstuff for the armed forces because of it's long hold-up time.;Du fer et du bétail sont nécessaires pour produire des conserves. Compte tenu de sa longue durée de conservation, ce type de nourriture est principalement destiné aux forces armées.;Eisen und Vieh sind zur Konservenproduktion erforderlich. Diese Konserven werden wegen ihrer langen Haltbarkeit hauptsächlich von den Streitkräften abgenommen.;;;;;;;;;;;
paper_mill;Paper Mill;Usine de papier;Papiermühle;;;;;;;;;;;
paper_mill_desc;A paper mill is using lumber to produce paper. Paper is used for books, newspapers and other means of information.;Une usine de papier utilise du bois pour produire du papier. Le papier est utilisé pour les livres, les journaux et les autres moyens d'information.;In einer Papiermühle wird Papier produziert. Papier wird zur Produktion von Büchern, Zeitungen und anderen Informationsmedien verwendet.;;;;;;;;;;;
dye_factory;Dye Factory;Usine de teinture;Farbstofffabrik;;;;;;;;;;;
dye_factory_desc;Dye could not only be extracted from plantations, but it could also be synthetically produced using coal.;La teinture pouvait être issue de plantations ou être produite de manière synthétique à partir de charbon.;Farbstoffe konnten nicht nur auf Plantagen gewonnen, sondern auch synthetisch mit Kohle produziert werden.;;;;;;;;;;;
lumber_mill;Lumber Mill;Scierie;Sägemühle;;;;;;;;;;;
lumber_mill_desc;In a lumber mill, timber is processed into lumber. Lumber can then be used for buildings, paper, ships or furniture.;La scierie transforme la matière première en bois. Ce bois sert à construire des bâtiments, des navires, des meubles ou à fabriquer du papier.;In Sägemühlen wird Holz zu Schnittholz verarbeitet, das dann für Gebäude, Papier, Schiffe oder Möbel verwendet werden kann.;;;;;;;;;;;
fabric_factory;Fabric Factory;Usine de tissus;Stofffabrik;;;;;;;;;;;
fabric_factory_desc;Cotton is processed into fabric here. Fabric is a tightly woven textile which is, among other things, used to produce sails for ships as well as clothing.;Le coton est ici transformé en tissu qui sert notamment à fabriquer les voiles des navires ainsi que des vêtements.;Baumwolle wird hier zu Stoffen verarbeitet. Stoffe sind dicht gewebte Textilien und werden unter anderem für Segel und Kleidung gebraucht.;;;;;;;;;;;
cement_factory;Cement Factory;Cimenterie;Betonfabrik;;;;;;;;;;;
cement_factory_desc;Cement is a building materiel used to build sturdy objects like fortresses or bridges. Coal is required to produce cement.;Le ciment est utilisé pour construire des édifices robustes comme les forteresses ou les ponts. Du charbon est nécessaire pour produire du ciment.;Beton ist ein Baumaterial für solide Objekte wie Festungen oder Brücken. Zur Betonproduktion ist Kohle notwendig.;;;;;;;;;;;
glass_factory;Glass Factory;Verrerie;Glashütte;;;;;;;;;;;
glass_factory_desc;This factory requires coal to produce glass. Glass is used mainly for mirrors and windows.;Du charbon est nécessaire pour produire du verre. Le verre est principalement utilisé pour produire des miroirs et des fenêtres.;Diese Fabrik braucht Kohle zur Glasproduktion. Glas wird hauptsächlich für Spiegeln und Fenstern verwendet.;;;;;;;;;;;
fertilizer_factory;Fertilizer Factory;Usine d’engrais;Düngerfabrik;;;;;;;;;;;
fertilizer_factory_desc;In this factory, sulphur is processed into fertilizer. These fertilizers are used to increase the productivity of farms.;Dans cette usine, le soufre est transformé en engrais. Ce dernier permet d'améliorer la productivité des fermes.;In dieser Fabrik wird Schwefel zu Dünger verarbeitet. Diese Dünger werden auf Farmen zur Produktivitätserhöhung eingesetzt.;;;;;;;;;;;
luxury_clothes_factory;Luxury Clothes Factory;Usine de vêtements de luxe;Luxuskleiderfabrik;;;;;;;;;;;
luxury_clothes_factory_desc;In this factory, regular clothes are reworked using silk to produce luxury clothes for the rich strata’s of the populace.;Dans cette usine, les vêtements ordinaires sont retraités avec de la soie afin de produire des vêtements de soie pour les classes supérieures de la population.;In dieser Fabrik werden normale Kleidungsstücke unter Verwendung von Seide zu Kleidung für die reichen Bevölkerungsschichten umgearbeitet.;;;;;;;;;;;
luxury_furniture_factory;Luxury Furniture Factory;Usine de meubles de luxe;Luxusmöbelfabrik;;;;;;;;;;;
luxury_furniture_factory_desc;Here, furniture is transformed into a luxury good using tropical wood. The resulting luxury furniture is used by the rich strata’s of the population for their homes.;Les meubles sont ici transformés en produits de luxe grâce à du bois exotique. Le mobilier de luxe qui en résulte est acheté par les classes supérieures de la population.;Hier werden Möbel mit Tropenhölzern in Luxusgüter verwandelt. Die fertigen Tropenmöbel werden von den reichen Bevölkerungsschichten für ihre Häuser gekauft.;;;;;;;;;;;
furniture_factory;Furniture Factory;Usine de meubles;Möbelfabrik;;;;;;;;;;;
furniture_factory_desc;Furniture is made using lumber. It is a necessity for every home and thus available to the general populace.;Les meubles sont fabriqués avec du bois. Ils sont indispensables à tous les foyers et sont donc accessibles au grand public.;Möbel aus Schnittholz sind eine Notwendigkeit für jedes Heim und daher der allgemeinen Bevölkerung zugänglich.;;;;;;;;;;;
regular_clothes_factory;Regular Clothes Factory;Usine d'habillement;Kleiderfabrik;;;;;;;;;;;
regular_clothes_factory_desc;Fabric and dye are the prerequisites for this factory were the clothes for the general populace are produced.;Le tissu et la teinture sont indispensables à cette usine où sont produits les vêtements destinés au grand public.;Stoff und Farbstoffe sind die Voraussetzungen für diese Fabrik, in der Kleidung für die allgemeine Bevölkerung produziert werden.;;;;;;;;;;;
liquor_distillery;Liquor Distillery;Distillerie;Schnapsbrennerei;;;;;;;;;;;
liquor_distillery_desc;Liquor is the alcohol available for the broad mass of the populace. Grain is the raw materiel to produce liquor.;Cette distillerie produit l'alcool accessible au grand public. Les céréales constituent la matière première nécessaire à la production de cet alcool.;Schnaps ist der Alkohol für die breite Masse. Getreide dient als Rohmaterial zur Schnapsproduktion.;;;;;;;;;;;
winery;Winery;Exploitation vinicole;Winzerei;;;;;;;;;;;
winery_desc;Wine is a major status symbol for the rich strata’s of the population. A distillery uses fruit to produce wine.;Le vin est un important symbole de statut social pour les classes supérieures de la population. Le vin est produit à partir de fruits.;Wein ist ein wichtiges Statussymbol für die reichen Bevölkerungsschichten. Eine Winzerei stellt aus Früchten Wein her.;;;;;;;;;;;
bank;Bank;;;;;;;;;;;;;
bank_desc;Banking institutions are financial intermediaries that accept deposits and channel those deposits into lending activities, either directly or through capital markets.;;;;;;;;;;;;;
stock_exchange;Stock Exchange;;;;;;;;;;;;;
stock_exchange_desc;Stock exchanges provide a market for the brokerage and trade of stocks and secrities. They generally offer a wide range of different financial securities.;;;;;;;;;;;;;
Petrolium-based_powerplant;Petroleum-Based Power Plant;;;;;;;;;;;;;
Petrolium-based_powerplant_desc;As coal can be burned in a power plant to produce electricity, so can petroleum.;;;;;;;;;;;;;
fort;Fort;Fort;Fort;;;;;;;;;;;
naval_base;Naval Base;Base navale;Marinestützpunkt;;;;;;;;;;;
railroad;Railroad;Chemin de fer;Eisenbahn;;;;;;;;;;;
Coal-fired_powerplant;Coal-Fired Power Plant;;;;;;;;;;;;;
Coal-fired_powerplant_desc;Most of the world's electricity is produced by burning coal in boilers, producing steam which drives the turbines that generate electricity.;;;;;;;;;;;;;
Cigar_factory;Cigar Factory;;;;;;;;;;;;;
Cigar_factory_desc;Cigars still remain as a sign of luxury and stature since the discovery of tobacco in the Americas.;;;;;;;;;;;;;
Cigarette_factory;Cigarette Factory;;;;;;;;;;;;;
Cigarette_factory_desc;Since cigars are expensive to manufacture, cigarettes have sprung up as a cheaper alternative for the masses.;;;;;;;;;;;;;
shoe_factory;Shoe Factory;;;;;;;;;;;;;
shoe_factory_desc;With the Industrial Revolution, even age-old industries such as shoemaking have to secure a foothold in these turbulent times through standardization and assembly lines.;;;;;;;;;;;;;
boot_factory;Boot Factory;;;;;;;;;;;;;
boot_factory_desc;This factory turns leather and iron fittings into boots, which are prized by the rich as a luxury.;;;;;;;;;;;;;
wool_mill;Wool Mill;;;;;;;;;;;;;
wool_mill_desc;Wool was the traditional source of fabric until cotton was discovered during the Age of Sail. Despite this, wool is still widely used by the textile industry.;;;;;;;;;;;;;
fish_cannery;Fish Cannery;;;;;;;;;;;;;
fish_cannery_desc;Fish was a extremely perishable foodstuff until the advent of the Industrial Revolution and its preserving techniques. When the first fish canneries began production, fish became a more accessible and long-lasting commodity.;;;;;;;;;;;;;
bakery;Bakery;;;;;;;;;;;;;
bakery_desc;Bakeries have been the foundation of cities since time immemorial; without grain and bread, cities as we know them could not sustain their population.;;;;;;;;;;;;
stables;Stables;;;;;;;;;;;;;
stables_desc;Cavalry remains the majority of any modern nation's army. Thus methods of raising horses that are capable of being used in war is of vital importance.;;;;;;;;;;;;;
pharmaceutical_plant;Pharmaceutical Plant;;;;;;;;;;;;;
pharmaceutical_plant_desc;A plant in which modern medicines are created, must using opiates from eastern nations.;;;;;;;;;;;;;
rum_distillery;Rum Distillery;;;;;;;;;;;;;
rum_distillery_desc;A distillery used to turn sugar into rum, first created in the New World but which quickly spread to other countries as sugar became more prevalent.;;;;;;;;;;;;;
gunpowder_factory;Gunpowder Factory;;;;;;;;;;;;;
gunpowder_factory_desc;A factory used to create gunpowder for use in early firearms.;;;;;;;;;;;;;
bronze_artillery_factory;Bronze Artillery Factory;;;;;;;;;;;;;
bronze_artillery_factory_desc;An upgraded factory creating the most modern designs of bronze artillery.;;;;;;;;;;;;;
iron_artillery_factory;Iron Artillery Factory;;;;;;;;;;;;;
iron_artillery_factory_desc;An upgraded factory creating the most modern designs of iron artillery.;;;;;;;;;;;;;
fruit_cannery;Fruit Cannery;;;;;;;;;;;;;
fruit_cannery_desc;A factory in which fruit is preserved and canned for consumption elsewhere.;;;;;;;;;;;;;
bronze_factory;Bronze Factory;;;;;;;;;;;;;
bronze_factory_desc;A factory creating bronze alloy, most commonly used in artillery but also having applications in many other industries.;;;;;;;;;;;;;
early_small_arms_factory;Early Small Arms Factory;;;;;;;;;;;;;
early_small_arms_factory_desc;An upgraded factory creating the most modern designs of small arms.;;;;;;;;;;;;;
late_small_arms_factory;Late Small Arms Factory;;;;;;;;;;;;;
late_small_arms_factory_desc;An upgraded factory creating the most modern designs of small arms.;;;;;;;;;;;;;
advanced_machine_parts_factory;Advanced Machine Parts Factory;;;;;;;;;;;;;
advanced_machine_parts_factory_desc;Machinery has become increasingly more sophisticated, and thus only specialized factories are able to produce the parts that are highly in demand.;;;;;;;;;;;;;
synthetic_rubber_factory;Synthetic Rubber Plant;;;;;;;;;;;;;
synthetic_rubber_factory_desc;A plant in which artificial rubber is produced, reducing the nation's reliance on natural sources.;;;;;;;;;;;;;
tropical_lumber_mill;Tropical Lumber Mill;;;;;;;;;;;;;
tropical_lumber_mill_desc;Harvesting lumber from tropical forest is a more complicated process, but results in a much wider variety of wood such as teak and mahogany.;;;;;;;;;;;;;
rubber_boot_factory;Rubber Boot Factory;;;;;;;;;;;;;
rubber_boot_factory_desc;Not merely making boots," these plants are used to produce a variety of clothing such as jackets, footwear and industrial protective gear.;;;;;;;;;;;;;
advanced_luxury_clothes_factory;Advanced Luxury Clothes Factory;;;;;;;;;;;;;
advanced_luxury_clothes_factory_desc;A more advanced version of the regular luxury clothes factory, able to produce more complex clothes from a wider variety of exotic materials.;;;;;;;;;;;;;
advanced_luxury_furniture_factory;Advanced Luxury Furniture Factory;;;;;;;;;;;;;
advanced_luxury_furniture_factory_desc;A more advanced version of the regular luxury furniture factory, able to produce more complex furniture from a wider variety of exotic materials.;;;;;;;;;;;;;
synthetic_fabric_factory;Synthetic Fabric Factory;;;;;;;;;;;;;
synthetic_fabric_factory_desc;The development of new, durable synthetic fabrics has opened up a whole new industry to satisfy the demands of clothing manufacturers.;;;;;;;;;;;;;
sugar_beet_refinery;Sugar Refinery;;;;;;;;;;;;;
sugar_beet_refinery_desc;The process of refining sugar beets into raw sugar has rapidly expanded the industry.;;;;;;;;;;;;;
newspaper;Printing Press;;;;;;;;;;;;;
newspaper_desc;The availability of cheap paper and advances in printing press technology have spawned the creation of newsprint, bringing news and culture to a literate audience both locally and abroad. To many, this is the vehicle upon which propaganda and public awareness will be based in the years to come.;;;;;;;;;;;;;
synthetic_silk_factory;Synthetic Silk Factory;;;;;;;;;;;;;
synthetic_silk_factory_desc;The creation of synthetic silk has reduced the reliance of textile factories upon natural sources, as well as reduced the cost of luxury clothing across the world.;;;;;;;;;;;;;
iron_machine_parts_factory;Iron Machine Parts Factory;;;;;;;;;;;;;
iron_machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Iron and Coal are required to produce them.;;;;;;;;;;;;;
steel_machine_parts_factory;Steel Machine Parts Factory;;;;;;;;;;;;;
steel_machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Steel and Coal are required to produce them.;;;;;;;;;;;;;
#crime.txt;;;;;;;;;;;;;;
anarchic_bomb_throwers;Anarchic Bomb Throwers;Lanceurs de bombes anarchistes;Anarchistische Bombenleger;;;;;;;;;;;
desc_anarchic_bomb_throwers;Less money for crime fighting results in lowered ability to respond to security threats like anarchist uprisings.;La baisse des dépenses consacrées à la lutte contre le crime se traduit par une moindre efficacité en termes de réponse aux atteintes à la sécurité comme les soulèvements d'anarchistes.;Weniger Geld für die Verbrechensbekämpfung führt zu einer verringerten Reaktionsfähigkeit auf Sicherheitsrisiken wie anarchistische Rebellionen.;;;;;;;;;;;
citizen_guard;Citizen Guard;Garde citoyenne;Bürgerwache;;;;;;;;;;;
desc_citizen_guard;Less money for crime fighting results in lowered ability to respond to security threats like battling street gangs.;La baisse des dépenses consacrées à la lutte contre le crime se traduit par une moindre efficacité en termes de réponse aux atteintes à la sécurité tels que les combats entre gangs.;Weniger Geld für die Verbrechensbekämpfung führt zu einer verringerten Reaktionsfähigkeit auf Sicherheitsrisiken wie Straßenbanden.;;;;;;;;;;;
immoral_business;Immoral Business;Activité immorale;Unmoralische Geschäfte;;;;;;;;;;;
desc_immoral_business;With rising crime rates and less government control, businessmen would become more and more centred on their own profits. This results in a higher risk of collapse for the entire system, as everybody strives for personal interests.;;Mit steigenden Kriminalitätsraten und weniger Regierungskontrolle werden sich Geschäftsleute vermehrt auf ihre eigenen Profite konzentrieren. Dies führt zu einem höheren Zusammenbruchsrisiko für das gesamte System, da jeder seinen persönlichen Interessen nachgeht.;;;;;;;;;;;
machine_politics;Machine Politics;Clientélisme;Politikmaschinerie;;;;;;;;;;;
desc_machine_politics;The system of machine politics was in essence the bribery of mainly minorities by politicians using their influence. It was common to use the appointment for government jobs as a means of bribery within this system.;Le système du clientélisme se traduit, par essence, par la corruption des principales minorités par les politiciens usant de leur influence. Les nominations à des postes gouvernementaux sont des moyens de corruption.;Beim Politikmaschinerie-System ging es um Bestechungsgelder, die Politiker mit Hilfe ihres Einflusses hauptsächlich Minoritäten zukommen ließen. Innerhalb dieses Systems war es gang und gäbe, Regierungsjobs zu Bestechungszwecken auszunutzen.;;;;;;;;;;;
mafia;Mafia;Mafia;Mafia;;;;;;;;;;;
desc_mafia;If the crime fighting institutions in a province become overstretched, organized crime in form of a mafia would develop. Such organizations resulted in lowered productivity in the province.;Si les institutions de lutte contre le crime d'une province sont trop sollicitées, le crime organisé se transforme en mafia. Et la productivité de la province baisse.;Wenn die Institutionen zur Verbrechensbekämpfung in einer Provinz überlastet sind, entwickelt sich organisiertes Verbrechen in Form einer Mafia. Solche Organisationen verringern die Produktion in der Provinz.;;;;;;;;;;;
rotten_boroughs;Rotten Boroughs;Bourgs pourris;Rotten Boroughs;;;;;;;;;;;
desc_rotten_boroughs;The system of rotten boroughs was a system to create such small voting districts that a certain victory could be won through plain bribery.;Le système des bourgs pourris consiste à créer des circonscriptions électorales si petites qu'elles permettent une victoire certaine par le biais de la corruption.;Das System der Rotten Boroughs schaffte so kleine Wahldistrikte, dass Wahlsiege durch Bestechung gewonnen werden konnten.;;;;;;;;;;;
spoil_system;Spoil System;Système des dépouilles;Verdorbenes System;;;;;;;;;;;
desc_spoil_system;Lacking sufficient control institutions, politicians would eventually use their power and influence for their personal wealth and glory. This results in increased militancy of the whole population in the province.;À défaut d'institutions de contrôle suffisantes, les politiciens usent de leur pouvoir et de leur influence pour assurer leur fortune et leur gloire personnelles. Cela se traduit par un militantisme accru de toute la population de la province.;Ohne ausreichende Kontrollinstitutionen nutzten Politiker schließlich ihre Vorrechte und ihren Einfluss, um sich persönliche Vorteile in Form von Reichtum und Ruhm zu verschaffen. Dies führt zu erhöhter Militanz der gesamten Bevölkerung in der Provinz.;;;;;;;;;;;
terrorist_cells;Terrorist Cells;Cellules terroristes;Terroristenzellen;;;;;;;;;;;
desc_terrorist_cells;With less security personnel around in the province, terrorists have an easier time hiding and waiting for opportunities to strike.;Avec la réduction du personnel de sécurité de la province, les terroristes ont moins de mal à se cacher en attendant l'occasion de frapper.;Mit weniger Sicherheitspersonal in der Provinz können Terroristen leichter in ihren Verstecken auf Gelegenheiten zum Zuschlagen warten.;;;;;;;;;;;
#event_modifiers.txt;;;;;;;;;;;;;;
government_sanitarium;Sanitarium;Sanatorium;Sanitarium;;;;;;;;;;;
desc_government_sanitarium;The Government operates a sanitarium for tuberculosis patients in this province.;Le gouvernement met un sanatorium à la disposition des tuberculeux de cette province.;Die Regierung betreibt ein Sanitarium für Tuberkulosepatienten in dieser Provinz.;;;;;;;;;;;
academic_confusion;Academic Confusion;Confusion académique;Akademisches Durcheinander;;;;;;;;;;;
academic_confusion_desc;Our academia is in a state of disarray, following a paradigm shift within our academic establishment. Our prestige and research will be hampered while the effect lasts.;Notre académie est en proie à la panique à la suite d'un changement paradigmatique au sein de notre effectif. Tant que cela durera, notre prestige et notre recherche en pâtiront.;Nach einem Paradigmenwechsel in unserem Bildungsministerium ist unsere akademische Welt in einem Zustand totalen Durcheinanders. Solange dieser Effekt anhält, leiden unser Prestige und unsere Forschung darunter.;;;;;;;;;;;
liberal_agitation;Liberal Agitation;Agitation libérale;Liberale Agitation;;;;;;;;;;;
desc_liberal_agitation;Firebrands are arguing the cause of liberalism and revolution.;Des exaltés de cette province soutiennent la révolution libérale.;Aufwiegler in diesen Provinzen fordern die liberale Revolution.;;;;;;;;;;;
springtime_of_nations;The Springtime of Nations!;Le Printemps des nations!;Frühling der Nationen!;;;;;;;;;;;
springtime_of_nations_desc;The slumbering nations of Europe awake to throw of the spectres of despotism and tyranny;Les nations endormies d'Europe se réveillent pour lutter contre les spectres du despotisme et de la tyrannie.;Die schlummernden Nationen Europa erwachen, um die Gespenster des Despotismus und der Tyrannei zu vertreiben.;;;;;;;;;;;
global_liberal_agitation;Liberal Agitation;Agitation libérale;Liberale Agitation;;;;;;;;;;;
desc_global_liberal_agitation;Firebrands are arguing the cause of liberalism and revolution.;Des exaltés soutiennent le libéralisme et la révolution.;Aufwiegler in diesen Provinzen fordern die liberale Revolution.;;;;;;;;;;;
potato_blight;Potato Blight;Le mildiou de la pomme de terre;Kartoffelfäule;;;;;;;;;;;
desc_potato_blight;Famine spreads as crops lie, dead and rotting, in our fields.;La famine s'étend tandis que les cultures pourrissent dans nos champs.;Hunger breitet sich aus, weil die Ernte tot und verfaulend auf unseren Feldern liegt.;;;;;;;;;;;
anti_jacobin_tract;Anti-Jacobin Tract;Tract antijacobin;Antijakobinertrakt;;;;;;;;;;;
desc_anti_jacobin_tract;A tract arguing the causes of counter-revolution, order, religion and monarchy has recieved widespread circulation in our country.;Un tract contre-révolutionnaire en faveur de l'ordre, de la religion et de la monarchie a été largement diffusé dans notre pays.;Ein Traktat über die Gründe von Konterrevolution, Ordnung, Religion und Monarchie ist in unserem Land in breitem Umlauf.;;;;;;;;;;;
cholera_epidemic_small;Outbreak of Cholera;Épidémie de choléra;Ausbruch der Cholera;;;;;;;;;;;
desc_cholera_epidemic_small;Cholera has broken out in this province, and threatens to spread.;Le choléra a fait son apparition dans cette province et l'épidémie guette la population.;Cholera ist in dieser Provinz ausgebrochen und droht, sich weiter zu verbreiten.;;;;;;;;;;;
cholera_epidemic_big;Cholera Epidemic;Épidémie de choléra;Choleraepidemie;;;;;;;;;;;
desc_cholera_epidemic_big;Cholera has broken out in this province, and threatens to spread.;Le choléra a fait son apparition dans cette province et l'épidémie guette la population.;Cholera ist in dieser Provinz ausgebrochen und droht, sich weiter zu verbreiten.;;;;;;;;;;;
conservative_reaction;Conservative Opposition;Opposition conservatrice;Konservative Opposition;;;;;;;;;;;
desc_conservative_reaction;Conservatives in parliment are dissatisfied.;Les conservateurs qui siègent au parlement sont mécontents.;Die Konservativen im Parlament sind unzufrieden.;;;;;;;;;;;
liberal_reaction;Liberal Opposition;Opposition libérale;Liberale Opposition;;;;;;;;;;;
desc_liberal_reaction;Liberals in parliment are dissatisfied.;Les libéraux qui siègent au parlement sont mécontents.;Die Liberalen im Parlament sind unzufrieden.;;;;;;;;;;;
national_tragedy;National Tragedy;Drame national;Nationale Tragödie;;;;;;;;;;;
