substate_nation;Substate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
monthly_substate_payment_title;Monthly Payment;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
monthly_substate_payment_desc;As vassals, we are forced to contribute to our overlord coffers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oman_collapse_title;The Collapse of Oman;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oman_collapse_desc;With our homelands lost we can no longer hold on to our outposts.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_arab_coast_title;Claim the Arab Coast;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_arab_coast_desc;With the opening of the Suez Canal, trade from the Persian Gulf is increasingly valuable. It is important that we exert as much power and influence in the region. The Arabian peninsula is divided between the al-Saud and al-Rashid families so we should be able to acquire a portion of their coastline with ease.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_bahrain_title;Claim Bahrain;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_bahrain_desc;The small island in the Persian Gulf has long been dominated by Arab families and small sheikdoms. The borders are volatile and our country rulers have claimed the area more than once in history. It's time to once again claim our land there and conquer the peninsula.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
basotho_asks_for_protection_title;Ask for Protection;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
basotho_asks_for_protection_desc;Our land is not what it once was and invaders surround our territory. There are some in our country that believe that in order to survive, we need to give our independence and ask for protection, becoming a vassal, of the Cape colony.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
montenegro_borders_title;The Montenegrin Borders;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
montenegro_borders_desc;While independent for a long time, Montenegro never had its full borders officially recognized, leading to claims from Croatia and Bosnia. It's time to change that.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
renovate_capital_title;Renovate $CAPITAL$;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
renovate_capital_desc;$CAPITAL$ is an old city but the cramped, medieval-style streets and buildings certainly doesn't do it any favors. In order to implement a modern transportation network and to eliminate potential sanitary problems, we can invest in a renovation of $CAPITAL$ to make it a city worthy of being a capital of $COUNTRY$.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bulgarian_miracle_title;The Bulgarian Miracle;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bulgarian_miracle_desc;Bulgaria is the largest Christian nation in the Balkans in terms of territory and population and is experiencing an economic and cultural revival. Europeans are beginning to speak of “the Bulgarian miracle,” calling Bulgarians the “Prussians” or the “Japanese” of the Balkans. Only time will tell if this miracle will build an enduring legacy and a great nation, or if it will be a one-time thing. For now, we will reap its benefits.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_bulgaria_title;Claim Greater Bulgaria;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_bulgaria_desc;Bulgaria has the right to include all Bulgarian-inhabited lands in the former Ottoman Empire. The Balkans will be stabilized under the might of the Bulgarian Empire.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquest_of_the_saharan_desert_title;The Saharan Frontier;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquest_of_the_saharan_desert_desc;The nomads of the Saharan desert have always been too trouble with not enough benefits to be kept under control. With the Great Powers quickly setting out to carve Africa, establishing proper borders and proper control of even remote regions becomes a necessity. We can  strike out a series of treaties to set up the Saharan frontier of our territories and eliminate any possibility of border conflicts in the Sahara.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
remove_spu_cores_title;Unite Peru;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
remove_spu_cores_desc;With the end of the South/North Peru division, these olds boundaries become useless. It's time to end the notion of a separated Peru.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
repudiate_the_treaty_of_paucarpata_title;Repudiate the Treaty of Paucarpata;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
repudiate_the_treaty_of_paucarpata_desc;Surrounded and out-maneuvered, and following an encounter at Paucarpata with an army under the command of Santa Cruz, Admiral Blanco Encalada was forced to sign a peace treaty. The Treaty of Paucarpata agreed to the devolution of all captured ships by Chile, the restoration of commercial relations between the Confederation and Chile, the withdrawal of all Chilean troops from Confederate territories and the payment by the Confederacy of the former Peruvian foreign debts with Chile. The Chilean troops were reembarked. When Admiral Blanco Encalada returned rather ignominiously to Valparaíso with the fleet and the army in December, 1837, the scandal was gigantic. The Chilean government and the Chilean public opinion repudiated the treaty in indignation. Admiral Blanco Encalada as was thrown into jail and tried for high treason, together with his advisor Antonio José de Irisarri, who had refused to even return to Chile.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_removal_act_title;The Natives' Status: The Suppression Act;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_removal_act_desc;This unfortunate race, whom we had been taking so much pains to save and to civilize, have by their unexpected desertion and ferocious barbarities justified extermination and now await our decision on their fate.\nThe $COUNTRY_ADJ$ spokesperson addressed a cabinet of ministers and advisors of the $MONARCHTITLE$ in regards to the new government policy. The decision has been made, and the new government stance will be one of persecution and marginalization of the natives until they are completely driven off $COUNTRY$.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_assimilation_act_ended_title;The End of the Integration Act;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_assimilation_act_ended_desc;After twenty years, the government's integration policy towards the natives is coming under revision. By enacting this decision we can renew it or select a new policy.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_assimilation_act_title;The Natives' Status: The Integration Act;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_assimilation_act_desc;In the first place, we should insist that if a native become an $COUNTRY_ADJ$ and assimilates himself to us, he shall be treated on an exact equality with everyone else, for it is an outrage to discriminate against any such man because of creed, or birthplace, or origin. But this is predicated upon the person’s becoming in every facet a $COUNTRY_ADJ$, and nothing but a $COUNTRY_ADJ$... There can be no divided allegiance here. Any man who says he is a $COUNTRY_ADJ$, but something else also, isn’t a $COUNTRY_ADJ$ at all. We have room for but one flag, the $COUNTRY_ADJ$ flag. We have room for but one language here, and that is the $COUNTRY_ADJ$ language... and we have room for but one sole loyalty and that is a loyalty to the $COUNTRY_ADJ$ people.\n\nThe $MONARCHTITLE$ addressed a crowd in $CAPITAL$, delineating the government's policy of integrating the natives in $COUNTRY_ADJ$ society. It will be hard to move them from their traditional villages and it might take a while, but the government is determined that the indigenous peoples of $COUNTRY$ will become $COUNTRY_ADJ$ in every aspect.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_protection_act_title;The Natives' Status: The Protection Act;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_protection_act_desc;Every native of $COUNTRY$ and every native halfcaste or child of a half-caste, such half-caste or child habitually associating and living with natives, shall be deemed to be an native within the meaning of this Act, and at the hearing of any case the justice adjudicating may, in the absence of other sufficient evidence, decide on his own view and judgment whether any person with reference to whom any proceedings shall have been taken under this Act is or is not a native. If any person shall violate the provisions of any regulation made under or in pursuance of this Act, or shall obstruct the Board or local committee or any local guardian of natives or other officer in the execution of his duty under this Act or the said regulations, every such person shall on conviction forfeit and pay a fine. Be it enacted by his excellency the $MONARCHTITLE$ and with the advice and consent of the Legislative Council and Legislative Assembly of $COUNTRY$ in this present Parliament assembled and by the authority of the same that all natives of $COUNTRY$ will be under protection of the state and will be regarded as $COUNTRY_ADJ$ citizens.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_integration_status_on_title;The Natives' Status;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_integration_status_on_desc;Ever since the colonization of $COUNTRY$, the natives have been relegated to a marginal role in $COUNTRY_ADJ$ society. Marginalized or simply ignored, the natives are growing increasingly militant about their status while other countries turn their gaze on our treatment of the first peoples of $COUNTRY$. There are talks in $CAPITAL$ about an official policy on regards to our treatment of the natives: should we keep the status quo? Give them full rights? Try to assimilate them in $COUNTRY_ADJ$ culture? Should we try to drive them to the edge of extinction?;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_integration_status_off_title;Close the Natives Status Options;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_integration_status_off_desc;We haven't reached a consensus on how to proceed with the native question.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
create_rhodesia_title;Create Rhodesia;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
create_rhodesia_desc;Uniting Rhodesia under a single flag, as a puppet to our nation, will make for a much stronger ally.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
organize_zimbabwe_title;Organize Monomotapa;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_zimbabwe_desc;Now that we have taken possession of Monomotapa as a colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_zimbabwe_title;Claim Zimbabwe;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_zimbabwe_desc;Now that we have taken possession of Zimbabwe, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_segregation_act_title;An End to Segregation;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_segregation_act_desc;Too long our nation has been divided. Too long has pettinesses ruled our country. Now more. Today we stand united as one nation!;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_antillean_confederation_title;Form the Antillean Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_antillean_confederation_desc;Cubans and Puerto Ricans! Join your efforts, work in concert, we are brothers, we are one in misfortune: let us also be one in the Revolution and in the Independence of Cuba and Puerto Rico. That way we may form tomorrow the confederation of the Antilles. Long live free Puerto Rico. Long Live Cuba. Death to Spain forever in America. Antilles for the Antilleans!;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_the_caribbean_title;Claim the Caribbean;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_the_caribbean_desc;"The Antilles now face a moment that they had never faced in history: they now have to decide whether 'to be, or not to be'. Let us unite. Let us build a people and we then shall raise a temple over foundations so solid that the forces of the Saxon and Spanish races will not shake it, a temple that we will consecrate to Independence, and in whose frontispiece we will engrave this inscription, as imperishable as the Motherland itself: 'The Antilles for the Antilleans'.";;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_dahomey_title;Reorganize Benin;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_dahomey_desc;Now that we have taken possession of Porto-Novo, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_burkina_faso_title;Reorganize Burkina-Faso;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_burkina_faso_desc;Now that we have taken possession of Burkina-Faso, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_ghana_title;Reorganize Ghana;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_ghana_desc;Now that we have taken possession of Ghana, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_botswana_title;Reorganize Ghana;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_botswana_desc;Now that we have taken possession of Botswana, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_uganda_title;Reorganize Uganda;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_uganda_desc;Now that we have taken possession of Uganda, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
authorize_bulgarian_exarchate_title;Authorize a Bulgarian Exarchate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
authorize_bulgarian_exarchate_desc;In order to combat the growing threat of Bulgarian nationalism, we can give the Bulgarian dioceses the right to organize an Exarchate within Ottoman territory. Nominally, Bulgarian Orthodox Christians are loyal to the Orthodox Patriarch in Constantinople, but the idea of an Exarchate of their own would help soothe their nationalist angst. This Exarchate would be made without the blessing of the Patriarch of Constantinople, so it would also introduce ethno-nationalist tensions in Christians in our Balkan lands which would help in sowing disorder and distrust among Christians in our lands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
release_bukovina_title;The Bukovinan Protectorate;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
release_bukovina_desc;With the recent enclave in Bukovina formed, we have no option but to grant them greater autonomy to rule themselves.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
occupy_countryside_title;Occupy the Liberian Countryside;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;;;;;;;
occupy_countryside_desc;The early days of Liberia were marked by constant frontier troubles with other Colonizing Powers on the Ivory Coast and at Sierra Leone. The $COUNTRY_ADJ$ tried to extend their authority inland, although they were still unable to control all of the coastal area they claimed. In the wake of the Scramble for Africa, several deals were made with the indigenous people in inland Liberia that allowed us to claim and occupy the land under the principle of effective occupation.;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;;;;;;;
treaty_of_bata_title;Our Claims in the Muni River;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treaty_of_bata_desc;While we have historical rights to the Bight of Biafra, other colonial powers are demonstrating a growing interest in the area. The principle of effective occupation means we can lose this whole area, but we can try to strike a deal with another colonizing country to secure a strip of land in Bata.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonization_of_fernando_po_title;The Colonization of Fernando Pó;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonization_of_fernando_po_desc;The king, with sufficient advance notice, prepared a reception for the visitors, the kind of reception only he could prepare. From the outskirts of the town to the palace of the mochucu, the street was lined with two long lines of Bubi warriors, daubed with red, with rifles and lances and holding buffalo-skin shields. They cheered for $COUNTRY$. At the end was the aged King Moka, standing next to his throne made of tree trunks. He still looked arrogant and for the reception he had, naturally, put on his best finery: the two-point full-dress hat of a marine official and an old frock coat, but without the trousers. The monkey skin apron hung from his waist, and in his right hand he flaunted his staff of command. To his right was Abba Moote, high priest of the Bubi, with his paddle in his hand, emblem of his dignity. To his left, his first lieutenant, Sas Ebuera. The elderly counselors and the king’s sixty wives crowded after him. The $COUNTRY_ADJ$ flag Moka had received as a gift waved over the palace door. After two days of conferences and after having exchanged the customary gifts and tightened the bonds between $COUNTRY$ and Moka, the visitors returned to Santa Isabel, not without the governor having granted the king permission to use gunpowder...\n\nThe island of Fernando Pó has been the stage of numerous colonization attempts by the Spanish and the British. The north of the island is home to its only European settlement, founded by the British as a base of operations to end the slave trade in the Atlantic. Despite that, expansion of the colonization efforts have been largely hampered by the Bubi people, unified in a monarchy under king Moka. After years of isolationism, the kingdom is opening up to $COUNTRY_ADJ$ advances and we now have the means to colonize the island, submitting the natives to the authority of the $COUNTRY_ADJ$ $MONARCHTITLE$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
start_pearl_hunting_title;AI Decision: Start The Pearl Hunting Season;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
start_pearl_hunting_desc;Mixed with the indigenous population [of Manamah] are numerous strangers and settlers, some of whom have been established here for many generations back, attracted from other lands by the profits of either commerce or the pearl fishery, and still retaining more or less the physiognomy and garb of their native countries. Thus the gay-colored dress of the southern Persian, the saffron-stained vest of Oman, the white robe of Nejd, and the striped gown of Baghdad, are often to be seen mingling with the light garments of Bahreyn, its blue and red turban, its white silk-fringed cloth worn Banian fashion round the waist, and its frock-like overall: while a small but unmistakable colony of Indians, merchants by profession, and mainly from Gujarat, Cutch, and their vicinity, keep up here all their peculiarities of costume and manner, and live among the motley crowd, 'among them, but not of them'. The cities of Bahrain and Doha lie on a crucial trade routes to India and thus enjoy a manner of riches, provisions and prosperity from trade.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_pearl_hunting_title;AI Decision: End The Pearl Hunting Season;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_pearl_hunting_desc;All good things come to an end.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
